,ticker,name,description,logoid,update_mode,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
13,NASDAQ:EVOK,EVOK,"Evoke Pharma, Inc.",evoke-pharma,streaming,stock,['common'],4403930.761236684,USD,2.95,100,1,false,0,USD,-14.840795589041885,54639,,-3.1821,85.54004989480283,0.0,Health technology,Health Technology,america,1.0,3.9397916140894917
14,AMEX:PLAG,PLAG,Planet Green Holdings Corp.,planet-green,streaming,stock,['common'],18935055.803278692,USD,2.6,100,1,false,0,USD,-14.754098360655728,206843,,-0.9674,66.21498917370957,0.0,Consumer non-durables,Consumer Non-Durables,america,,0.6294021222995423
15,NASDAQ:BBCP,BBCP,"Concrete Pumping Holdings, Inc.",concrete-pumping-holdings-inc,streaming,stock,['common'],322019244.66854733,USD,6.07,100,1,false,0,USD,-14.38645980253878,360230,26.231633535004324,0.2314,-24.180865006553088,0.0,Industrial services,Industrial Services,america,1.666667,4.980051040580856
16,NASDAQ:NTCL,NTCL,NETCLASS TECHNOLOGY INC,netclass-technology,streaming,stock,['common'],41291200.0,USD,2.62,100,1,false,0,USD,-14.098360655737697,450712,,-0.0842,-1015.2173913043479,0.0,Technology services,Technology Services,america,,0.533317366975648
17,NASDAQ:OFAL,OFAL,OFA Group,,streaming,stock,['common'],,USD,2.38,100,1,false,0,USD,-14.079422382671483,4206819,,,,,Industrial services,Industrial Services,america,,2.17051554619321
18,NASDAQ:VBIX,VBIX,Viewbix Inc.,viewbix,streaming,stock,['common'],43983668.824941635,USD,6.6441,100,1,false,0,USD,-13.824902723735411,79703,,-3.3207,-55.95266049875545,0.0,Electronic technology,Electronic Technology,america,,1.5418826897779154
19,NASDAQ:MFI,MFI,mF International Limited,mf-international-limited,streaming,stock,['common'],28756117.39,USD,2.17,100,1,false,0,USD,-11.788617886178864,2097041,,-0.2003,,0.0,Technology services,Technology Services,america,,0.5959213914063337
20,NASDAQ:RITR,RITR,Reitar Logtech Holdings Limited,reitar-logtech-limited,streaming,stock,['common'],305655000.00000006,USD,4.92,100,1,false,0,USD,-11.51079136690647,606683,58.57142857142857,0.084,223.07692307692312,0.0,Finance,Finance,america,,0.6091600885842189
21,NASDAQ:SAGT,SAGT,SAGTEC GLOBAL LIMITED,sagtec-global-limited,streaming,stock,['common'],26103999.999999996,USD,2.08,100,1,false,0,USD,-11.48936170212766,1039877,2.366863905325444,0.8788,61.722488038277525,0.0,Technology services,Technology Services,america,,6.200269743636221
22,NASDAQ:BIYA,BIYA,Baiya International Group Inc.,baiya-international,streaming,stock,['common'],,USD,4.75,100,1,false,0,USD,-11.214953271028032,1007093,,,,,Commercial services,Commercial Services,america,,1.7363283236755038
23,NASDAQ:LE,LE,"Lands' End, Inc.",lands-end,streaming,stock,['common'],246742596.02796423,USD,7.99,100,1,false,0,USD,-10.62639821029082,540395,58.06686046511628,0.1376,,0.0,Retail trade,Retail Trade,america,1.0,0.7253720552796608
24,NASDAQ:SNPX,SNPX,"Synaptogenix, Inc.",synaptogenix,streaming,stock,['common'],3349453.8364312276,USD,2.41,100,1,false,0,USD,-10.408921933085495,45508,,-9.8938,73.40862422997947,0.0,Health technology,Health Technology,america,,1.6902078033018255
25,NASDAQ:HOLO,HOLO,MicroCloud Hologram Inc.,,streaming,stock,['common'],22078277.275,USD,4.67,100,1,false,0,USD,-10.192307692307697,2527373,,-453.508,82.87201256911504,0.0,Electronic technology,Electronic Technology,america,,0.19946522324089686
26,NASDAQ:SORA,SORA,Top Win International Limited,top-win-international-limited,streaming,stock,['common'],156643200.0,USD,6.3,100,1,false,0,USD,-10.128388017118402,98263,,,,0.0,Distribution services,Distribution Services,america,,0.36733255029266826
27,NASDAQ:CVV,CVV,CVD Equipment Corporation,cvd-equipment,streaming,stock,['common'],21540152.724137932,USD,3.13,100,1,false,0,USD,-10.05747126436782,43432,,-0.0104,98.73862947240752,0.0,Electronic technology,Electronic Technology,america,,0.8780314241123053
28,NASDAQ:ZUMZ,ZUMZ,Zumiez Inc.,zumiez,streaming,stock,['common'],226589845.4650078,USD,11.58,100,1,false,0,USD,-9.953343701399685,713260,1052.7272727272727,0.011,,0.0,Retail trade,Retail Trade,america,2.0,2.4560330620629904
29,NASDAQ:INM,INM,InMed Pharmaceuticals Inc.,inmed-pharmaceuticals,streaming,stock,['common'],3464624.037974684,USD,2.87,100,1,false,0,USD,-9.177215189873419,206995,,-12.6303,48.594627594627596,0.0,Health technology,Health Technology,america,,0.02685952775164245
30,NYSE:ABM,ABM,ABM Industries Incorporated,abm-industries,streaming,stock,['common'],2900607215.265509,USD,46.61,100,1,false,0,USD,-9.071400702301988,3249239,36.76157425664484,1.2679,-67.59195358229174,1.9118220834959,Commercial services,Commercial Services,america,1.857143,8.980184244680828
31,NASDAQ:MLEC,MLEC,Moolec Science SA,moolec-science-sa,streaming,stock,['common'],27687518.527607363,USD,6.9,100,1,false,0,USD,-8.73015873015872,4683,,-2.1491,-31.556072477962772,0.0,Commercial services,Commercial Services,america,,2.7479169111606616
32,NASDAQ:SYTA,SYTA,"Siyata Mobile, Inc.",siyata-mobile,streaming,stock,['common'],17228485.756756756,USD,3.38,100,1,false,0,USD,-8.648648648648656,1017345,,-1204.1894,83.28697052994524,0.0,Electronic technology,Electronic Technology,america,2.0,0.11130158220787738
33,NASDAQ:SATS,SATS,EchoStar Corporation,echostar,streaming,stock,['common'],5023378731.730951,USD,17.48,100,1,false,0,USD,-8.145034156594853,4550784,,-0.8157,88.39224726775957,0.0,Communications,Communications,america,1.75,0.970777071294705
34,NASDAQ:SBC,SBC,SBC Medical Group Holdings Incorporated,pono-capital-two,streaming,stock,['common'],489045121.706458,USD,4.72,100,1,false,0,USD,-7.632093933463807,94189,19.463917525773194,0.2425,,0.0,Commercial services,Commercial Services,america,,0.6318907278326032
