,exchange,name,description,logoid,type,typespecs,cash_n_short_term_invest_fq,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
432,NASDAQ,ALAB,"Astera Labs, Inc.",astera-labs,stock,['common'],1066162000.0,USD,177.53,100,1,false,0,USD,2.9457813859089668,4750722,29508884596.435947,311.29230229703666,0.5703,,0.0,0.8314345379461382,1.21875,Electronic technology,Electronic Technology,america
433,NYSE,ONON,On Holding AG,on-holding,stock,['common'],1064698492.46231,USD,44.58,100,1,false,0,USD,-1.4588859416445705,5566601,14389890653.118034,97.67747589833479,0.4564,-14.659685863874358,0.0,0.5251716185179559,1.214286,Consumer non-durables,Consumer Non-Durables,america
434,NYSE,POST,"Post Holdings, Inc.",post-holdings,stock,['common'],1064000000.0,USD,110.92,100,1,false,0,USD,0.2530730296456988,495076,6025188296.078452,18.98989898989899,5.841,11.388687592966932,0.0,0.631854650304271,1.318182,Consumer non-durables,Consumer Non-Durables,america
435,NYSE,MLI,"Mueller Industries, Inc.",mueller-industries,stock,['common'],1063342000.0000001,USD,90.66,100,1,false,0,USD,-1.0909884355225834,920043,10036130600.32315,14.391389929519335,6.2996,30.45351004348727,0.981889591970325,1.242650471185633,1.0,Producer manufacturing,Producer Manufacturing,america
436,NYSE,PSX,Phillips 66,phillips-66,stock,['common'],1052000000.0,USD,124.45,100,1,false,0,USD,0.712146961236554,2174688,50293261177.73327,29.950423565652677,4.1552,-64.32079684011678,3.76304928380675,1.164923227241366,1.568182,Energy minerals,Energy Minerals,america
437,NYSE,WSM,"Williams-Sonoma, Inc.",williams-sonoma,stock,['common'],1047181000.0,USD,197.21,100,1,false,0,USD,-1.0337732724444233,1093126,24256448353.570885,22.32397554901517,8.834,8.431220925237197,1.23450594670547,0.8311047012675052,1.708333,Retail trade,Retail Trade,america
438,NYSE,KFY,Korn Ferry,korn-ferry,stock,['common'],1043352000.0000001,USD,72.9,100,1,false,0,USD,-0.2735978112174947,136852,3814682968.4528046,15.786396413954398,4.6179,42.93363872725021,2.32558139534884,0.5753335393321015,1.3,Commercial services,Commercial Services,america
439,NYSE,EPAM,"EPAM Systems, Inc.",epam-sys,stock,['common'],1042553000.0000001,USD,166.4,100,1,false,0,USD,-0.02403268445084838,499482,9267966102.533045,23.727025138669063,7.0131,0.5635378129570663,0.0,0.5163005951470336,1.263158,Technology services,Technology Services,america
440,NYSE,HCA,"HCA Healthcare, Inc.",hca-healthcare,stock,['common'],1040000000.0,USD,404.26,100,1,false,0,USD,-1.4432688088156458,1198669,94594210522.1809,16.981361919844073,23.8061,11.701748294404144,0.672875323028914,1.0012651667988692,1.518519,Health services,Health Services,america
441,NASDAQ,PTON,"Peloton Interactive, Inc.",peloton-interactive-inc,stock,['common'],1039500000.0,USD,7.69,100,1,false,0,USD,-0.5174644243208283,8797496,3135701626.3803368,,-0.3089,79.65755679947316,0.0,0.479500725576631,1.547619,Consumer services,Consumer Services,america
442,NYSE,CCK,"Crown Holdings, Inc.",crown-holdings,stock,['common'],1038000000.0,USD,100.99,100,1,false,0,USD,0.2680698967434432,814930,11752771491.056395,21.197237789391934,4.7643,32.073850248108016,1.01270849880858,0.8666922407152537,1.34375,Process industries,Process Industries,america
443,NYSE,DKS,Dick's Sporting Goods Inc,dicks-sporting-goods,stock,['common'],1035888999.9999999,USD,223.41,100,1,false,0,USD,0.23329893669523544,1101425,17893640003.341423,15.965155499656985,13.9936,15.92742937619088,2.07501458118354,0.8479107833958911,1.642857,Retail trade,Retail Trade,america
444,NYSE,AGM,Federal Agricultural Mortgage Corporation,federal-agricultural-mortgage,stock,['common'],1030329000.0,USD,195.25,100,1,false,0,USD,-0.3826530612244898,91304,2079774540.320153,11.499905762616029,16.9784,3.638683212979861,2.95918367346939,1.1589787724502632,1.5,Finance,Finance,america
445,NYSE,QSR,Restaurant Brands International Inc.,restaurant-brands-international,stock,['common'],1026000000.0,USD,63.79,100,1,false,0,USD,0.06274509803921434,1774129,29010734887.83561,24.204135837601974,2.6355,-34.04819699206727,3.76470588235294,0.6805553802717965,1.442857,Consumer services,Consumer Services,america
446,NASDAQ,ALRM,"Alarm.com Holdings, Inc.",alarm-com-holdings,stock,['common'],1024862000.0000001,USD,56.98,100,1,false,0,USD,-0.052622346956676266,190425,2843588703.0506926,23.982490845574308,2.3759,18.386566346105944,0.0,0.4076274551566987,1.611111,Technology services,Technology Services,america
447,NYSE,WU,Western Union Company (The),western-union-company,stock,['common'],1023600000.0,USD,8.5,100,1,false,0,USD,2.4096385542168584,9550110,2745221986.506024,3.2080314009661834,2.6496,61.98569419820261,11.3253012048193,1.0267647390945054,2.315789,Finance,Finance,america
