,ticker,name,description,logoid,type,typespecs,market_cap_basicfundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
135,NASDAQ:GITS,GITS,"Global Interactive Technologies, Inc.",global-interactive-technologies,stock,['common'],,2.175,100,1,false,0,USD,-6.250000000000002,58807,,,,0.0,Technology services,Technology Services,america,,2.181503203237735
136,NASDAQ:AAME,AAME,Atlantic American Corporation,atlantic-americanrporation,stock,['common'],,2.25,100,1,false,0,USD,-6.2499999999999964,14725,,-0.0915,-40.337423312883445,0.833333333333333,Finance,Finance,america,,0.9135352106559461
137,NASDAQ:ODP,ODP,The ODP Corporation,office-depot,stock,['common'],,18.2,100,1,false,0,USD,-6.233900051519839,485655,15.098722415795585,1.2054,,0.0,Retail trade,Retail Trade,america,1.5,0.7923600731642733
138,NYSE:BNED,BNED,"Barnes & Noble Education, Inc",barnes-and-noble-education,stock,['common'],,8.15,100,1,false,0,USD,-6.214039125431521,597514,,-56.6961,63.66659403757915,0.0,Retail trade,Retail Trade,america,,1.4928680058274202
139,NASDAQ:OPXS,OPXS,"Optex Systems Holdings, Inc.",optex-systems,stock,['common'],,12.84,100,1,false,0,USD,-6.140350877192981,91143,18.104906937394244,0.7092,36.410848240046164,0.0,Electronic technology,Electronic Technology,america,,1.7014798317617783
140,NASDAQ:CLRB,CLRB,"Cellectar Biosciences, Inc.",cellectar-biosciences,stock,['common'],,4.44,100,1,false,0,USD,-6.13107822410148,88804,,-22.4451,77.03591160220995,0.0,Health technology,Health Technology,america,1.333333,0.9299500593235354
141,NYSE:RIG,RIG,Transocean Ltd (Switzerland),transocean-limited,stock,['common'],,2.91,100,1,false,0,USD,-6.129032258064514,20805047,,-1.846,-301.82847191989555,0.0,Industrial services,Industrial Services,america,1.775,0.7666340211386519
142,NASDAQ:RTAC,RTAC,Renatus Tactical Acquisition Corp I,renatus-tactical-acquisition-i,stock,['common'],,11.03,100,1,false,0,USD,-6.12765957446809,1687107,,,,0.0,Finance,Finance,america,,6.836177170156124
143,NASDAQ:CBLL,CBLL,"CeriBell, Inc.",ceribell,stock,['common'],,12.12,100,1,false,0,USD,-6.119287374128589,392376,,-1.3736,,0.0,Health technology,Health Technology,america,1.0,0.9215145233137002
144,NASDAQ:FORD,FORD,"Forward Industries, Inc.",forward-industries,stock,['common'],,13.35,100,1,false,0,USD,-6.118143459915618,61557,,-2.9088,12.451467268623025,0.0,Consumer durables,Consumer Durables,america,,1.9001537236308417
145,NASDAQ:NB,NB,NioCorp Developments Ltd.,niocorp-developments-ltd,stock,['common'],,4.45,100,1,false,0,USD,-6.118143459915612,8735282,,-0.1949,51.201802704056085,0.0,Non-energy minerals,Non-Energy Minerals,america,1.0,1.319926875238601
146,NASDAQ:MIND,MIND,"MIND Technology, Inc.",mind-technology,stock,['common'],,9.56,100,1,false,0,USD,-6.090373280943018,164133,48.626653102746694,0.1966,,0.0,Industrial services,Industrial Services,america,1.0,0.5667546611464375
147,NASDAQ:KFFB,KFFB,Kentucky First Federal Bancorp,kentucky-first-federal-bancorp,stock,['common'],,3.09,100,1,false,0,USD,-6.079027355623105,2818,,-0.1327,-78.84097035040433,0.0,Finance,Finance,america,,1.7183974632599548
148,NASDAQ:VTYX,VTYX,"Ventyx Biosciences, Inc.",ventyx-biosciences,stock,['common'],,2.64,100,1,false,0,USD,-6.0498220640569365,752249,,-1.6781,39.758041355542794,0.0,Health technology,Health Technology,america,1.25,0.8147599939693058
149,NASDAQ:WIX,WIX,Wix.com Ltd.,wix,stock,['common'],,115.43,100,1,false,0,USD,-6.03988603988603,1888968,41.54100838521611,2.7787,123.65582743077917,0.0,Technology services,Technology Services,america,1.203704,0.9903288996184784
150,NASDAQ:APEI,APEI,"American Public Education, Inc.",american-public-education,stock,['common'],,28.03,100,1,false,0,USD,-6.034193764666433,233709,26.571238979998107,1.0549,331.981981981982,0.0,Consumer services,Consumer Services,america,1.142857,0.8765036315181118
151,NYSE:BWMX,BWMX,"Betterware de Mexico, S.A.P.I. de C.V.",betterware-de-mexico,stock,['common'],,12.57,100,1,false,0,USD,-5.983545250560949,60724,15.988298142966167,0.7862,-57.77885183395092,9.79880329094989,Retail trade,Retail Trade,america,1.0,0.4505981236703519
152,NASDAQ:TUSK,TUSK,"Mammoth Energy Services, Inc.",mammoth-energy-services,stock,['common'],,2.2,100,1,false,0,USD,-5.98290598290597,236258,,-1.8675,48.69928302612422,0.0,Industrial services,Industrial Services,america,,3.5009898759987674
153,NASDAQ:ELTX,ELTX,"Elicio Therapeutics, Inc.",elicio-therapeutics,stock,['common'],,8.65,100,1,false,0,USD,-5.978260869565206,93631,,-4.1798,-4.599599599599604,0.0,Health technology,Health Technology,america,1.0,2.7697873649584075
154,NASDAQ:KRNT,KRNT,Kornit Digital Ltd.,kornit-digital,stock,['common'],,14.19,100,1,false,0,USD,-5.964214711729625,398770,,-0.25,75.55251320164287,0.0,Process industries,Process Industries,america,1.142857,0.8176936965385866
155,NASDAQ:CTKB,CTKB,"Cytek Biosciences, Inc.",cytek-biosciences,stock,['common'],,3.79,100,1,false,0,USD,-5.955334987593057,1665991,,-0.0511,61.229135053110774,0.0,Health technology,Health Technology,america,1.6,1.2400850348617625
156,NASDAQ:ENTA,ENTA,"Enanta Pharmaceuticals, Inc.",enanta-pharmaceuticals,stock,['common'],,6.49,100,1,false,0,USD,-5.942028985507248,176587,,-4.5399,27.319736168032787,0.0,Health technology,Health Technology,america,1.416667,1.1042346702685126
157,NASDAQ:KRRO,KRRO,"Korro Bio, Inc.",korro-bio,stock,['common'],,15.05,100,1,false,0,USD,-5.937499999999996,243121,,-9.4387,75.25015470783818,0.0,Health technology,Health Technology,america,1.0,2.4284706850672424
158,NASDAQ:MLAB,MLAB,"Mesa Laboratories, Inc.",mesa-laboratories,stock,['common'],,60.49,100,1,false,0,USD,-5.910717063306897,115557,,-0.1361,99.70673791721434,0.995489189609581,Health technology,Health Technology,america,1.666667,0.8430257794871533
159,NASDAQ:PASG,PASG,"Passage Bio, Inc.",,stock,['common'],,5.9,100,1,false,0,USD,-5.901116427432205,22350,,-20.509,33.10348426827757,0.0,Health technology,Health Technology,america,1.0,0.650876717834022
160,NASDAQ:GCL,GCL,GCL Global Holdings Ltd,gcl-global-ltd,stock,['common'],,3.51,100,1,false,0,USD,-5.8981233243967885,166411,,-0.1512,20.0,0.0,Finance,Finance,america,,1.440547163980391
