,exchange,name,description,logoid,type,typespecs,Perf.Y,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,sector.tr,sector,market,recommendation_mark
164,NASDAQ,ACFN,"Acorn Energy, Inc.",acorn-energy,stock,['common'],157.9162875341219,28.345,100,1,false,0,USD,-1.3057103064066853,33221,70903316.00000001,USD,9.977120732136571,2.841,1506.9004524886877,0.0,1.3131556686931294,Electronic technology,Electronic Technology,america,
165,NASDAQ,ABAT,American Battery Technology Company,american-battery-technology-company,stock,['common'],157.00934579439252,2.75,100,1,false,0,USD,5.363984674329507,3959042,254440711.99999997,USD,,-0.8471,-21.326267545116,0.0,0.7685221481695759,Non-energy minerals,Non-Energy Minerals,america,1.0
166,NASDAQ,AAOI,"Applied Optoelectronics, Inc.",applied-optoelectronics,stock,['common'],156.3394683026585,25.07,100,1,false,0,USD,2.9991783073130667,5071895,1563210938.0,USD,,-3.362,-75.13153096838049,0.0,0.9208244679600464,Electronic technology,Electronic Technology,america,1.375
167,NASDAQ,SNT,Senstar Technologies Corporation,senstar-technologies,stock,['common'],156.32183908045977,4.46,100,1,false,0,USD,-3.87931034482758,307037,104036871.0,USD,,,,0.0,6.445049455070614,Electronic technology,Electronic Technology,america,
168,NYSE,TPC,Tutor Perini Corporation,tutor-perini,stock,['common'],155.70004334633722,58.99,100,1,false,0,USD,0.8031442241968538,559662,3111324286.9999995,USD,,-2.535,-93.83697813121272,0.0,0.871097596793421,Industrial services,Industrial Services,america,1.0
169,NASDAQ,LIDR,"AEye, Inc.",aeye,stock,['common'],155.03875968992247,3.29,100,1,false,0,USD,0.3048780487804949,6394085,131412872.99999999,USD,,-2.8877,71.08714806359886,0.0,0.765443622372966,Technology services,Technology Services,america,
170,NASDAQ,QURE,uniQure N.V.,uniqure-n-v,stock,['common'],152.64,15.79,100,1,false,0,USD,1.5434083601286073,540055,866348793.0,USD,,-3.9207,33.766365402483316,0.0,0.6392578451439581,Health technology,Health Technology,america,1.071429
171,NASDAQ,MATH,Metalpha Technology Holding Limited,metalpha-technology-limited,stock,['common'],152.58620689655177,2.93,100,1,false,0,USD,1.7361111111111205,222606,115730230.00000001,USD,7.106475867087073,0.4123,,0.0,2.082611782998824,Transportation,Transportation,america,
172,NASDAQ,SPCB,"SuperCom, Ltd.",supercom,stock,['common'],152.55681818181822,8.89,100,1,false,0,USD,0.7936507936507969,67474,39545388.00000001,USD,,,,0.0,0.28832849467006355,Electronic technology,Electronic Technology,america,1.0
173,NYSE,PL,Planet Labs PBC,planet-labs,stock,['common'],151.07913669064754,6.98,100,1,false,0,USD,-1.1331444759206684,5637960,2117947911.0,USD,,-0.3623,24.268394648829428,0.0,0.9841540473500155,Technology services,Technology Services,america,1.111111
174,NYSE,TPB,"Turning Point Brands, Inc.",turning-point-brands,stock,['common'],150.8874239350913,98.95,100,1,false,0,USD,1.8318411032211597,486120,1783550066.0,USD,41.368786320498344,2.3919,-0.19611115747307453,0.298446022434908,1.177732968213178,Consumer non-durables,Consumer Non-Durables,america,1.2
175,NASDAQ,DUOT,"Duos Technologies Group, Inc.",duos-technologies,stock,['common'],150.77519379844958,6.47,100,1,false,0,USD,4.354838709677413,334153,125610522.99999999,USD,,-1.0707,34.97115092620711,0.0,0.7265209622734303,Technology services,Technology Services,america,1.0
176,NASDAQ,TLN,Talen Energy Corporation,talen-energy,stock,['common'],148.90918648968326,378.79,100,1,false,0,USD,6.542345231063497,2383605,17305141993.0,USD,108.1515532206487,3.5024,-75.36331790492537,0.0,3.263911235384251,Utilities,Utilities,america,1.166667
177,AMEX,UUUU,Energy Fuels Inc,energy-fuels,stock,['common'],148.18548387096774,12.31,100,1,false,0,USD,12.625800548947858,37077545,2839608257.0,USD,,-0.4865,-552.1447721179625,0.0,2.4805012865742957,Non-energy minerals,Non-Energy Minerals,america,1.142857
178,NASDAQ,CPIX,Cumberland Pharmaceuticals Inc.,cumberland-pharmaceuticals,stock,['common'],148.1751824817518,3.4,100,1,false,0,USD,4.2944785276073665,41195,50863784.0,USD,,-0.2133,70.8845208845209,0.0,0.9819274810979854,Health technology,Health Technology,america,
179,NASDAQ,SLSN,"Solesence, Inc.",nanophase-technologies,stock,['common'],147.88732394366198,3.52,100,1,false,0,USD,0.571428571428572,21100,248096459.0,USD,48.75346260387812,0.0722,,0.0,0.40874758577403425,Consumer non-durables,Consumer Non-Durables,america,
180,NASDAQ,NN,NextNav Inc.,nextnav,stock,['common'],147.80701754385964,16.95,100,1,false,0,USD,3.2592141334145612,2158445,2256563254.0000005,USD,,-1.2781,-48.478159851301115,0.0,2.5033428045646087,Technology services,Technology Services,america,1.5
181,NASDAQ,LASR,"nLIGHT, Inc.",nlight,stock,['common'],147.44897959183677,29.1,100,1,false,0,USD,1.8194541637508856,1747229,1452074300.0,USD,,-0.9661,10.280460624071324,0.0,2.046643294806741,Electronic technology,Electronic Technology,america,1.142857
182,NASDAQ,CMPX,"Compass Therapeutics, Inc.",compass-therapeutics,stock,['common'],146.09375,3.15,100,1,false,0,USD,4.304635761589401,631177,540453374.0,USD,,-0.4493,-25.74867058494262,0.0,0.31835293361670736,Health technology,Health Technology,america,1.05
183,NASDAQ,AMSC,American Superconductor Corporation,american-superconductor-corporation,stock,['common'],145.35211267605632,52.26,100,1,false,0,USD,5.405405405405405,964554,2360109959.9999995,USD,132.33730058242594,0.3949,,0.0,0.9815824930901276,Producer manufacturing,Producer Manufacturing,america,1.25
184,NASDAQ,STRL,"Sterling Infrastructure, Inc.",sterling-construction,stock,['common'],144.85957873620862,292.95,100,1,false,0,USD,2.2548780062131244,326662,8911489664.000002,USD,31.850700182656347,9.1976,76.74096848578017,0.0,0.6909613560239823,Industrial services,Industrial Services,america,1.125
185,NASDAQ,FOSL,"Fossil Group, Inc.",fossil-group,stock,['common'],144.2622950819672,2.98,100,1,false,0,USD,3.1141868512110675,788266,160280392.0,USD,,-1.1181,61.3995719118967,0.0,0.39427028491320676,Consumer durables,Consumer Durables,america,1.0
186,NASDAQ,CHCI,"Comstock Holding Companies, Inc.",comstock-holding-companies,stock,['common'],144.25287356321837,17.0,100,1,false,0,USD,6.616494198808402,39796,171209753.0,USD,10.86887027683652,1.5641,88.96943336957835,0.0,1.5531661625524442,Consumer durables,Consumer Durables,america,
187,AMEX,GROY,Gold Royalty Corp.,gold-royalty,stock,['common'],144.20289855072468,3.37,100,1,false,0,USD,5.642633228840131,2633471,575290698.0,USD,,-0.0108,93.94279304542906,0.0,1.3170399996479185,Non-energy minerals,Non-Energy Minerals,america,1.083333
188,NASDAQ,TRVI,"Trevi Therapeutics, Inc.",trevi-therapeutics,stock,['common'],144.07894736842104,7.42,100,1,false,0,USD,1.9230769230769187,2378640,903584219.9999999,USD,,-0.4207,-8.45578757411704,0.0,1.7850849675949412,Health technology,Health Technology,america,1.0
189,NASDAQ,LLYVA,Liberty Media Corporation - Series A Liberty Live,liberty-media,stock,['common'],142.91237113402062,94.25,100,1,false,0,USD,1.1157601115760178,238412,8660013560.25,USD,,-3.1249,-253.53546781310098,0.0,1.5097470034550189,Technology services,Technology Services,america,1.0
190,NYSE,ZVIA,Zevia PBC,zevia-pbc,stock,['common'],142.10526315789474,2.76,100,1,false,0,USD,-3.832752613240429,1096638,206860877.0,USD,,-0.23,54.50049455984174,0.0,1.2517554045571861,Consumer non-durables,Consumer Non-Durables,america,1.333333
191,NASDAQ,MSGM,Motorsport Games Inc.,motorsport-games,stock,['common'],141.93548387096774,3.0,100,1,false,0,USD,-0.9900990099009837,10790,17335351.0,USD,,-0.0494,-114.02214022140222,0.0,0.29177066122965517,Technology services,Technology Services,america,
192,NASDAQ,FEIM,"Frequency Electronics, Inc.",frequency-electronics,stock,['common'],141.7954378219279,32.86,100,1,false,0,USD,6.6536838688737445,292044,319659725.0,USD,13.285893340880603,2.4733,317.5050641458474,3.24569944823109,0.992261863302545,Electronic technology,Electronic Technology,america,1.0
193,NYSE,SEI,"Solaris Energy Infrastructure, Inc.",solaris-oilfield-infrastructure,stock,['common'],141.78137651821862,29.86,100,1,false,0,USD,4.332634521313761,1423168,2018024834.0,USD,50.515987142615465,0.5911,-8.780864197530873,1.67714884696017,0.8856351809186381,Technology services,Technology Services,america,1.090909
