,exchange,name,description,logoid,type,typespecs,Value.Traded,currency,close,pricescale,minmov,fractional,minmove2,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,recommendation_mark,sector.tr,market,sector
170,NYSE,GM,General Motors Company,general-motors,stock,['common'],462946194.88,USD,56.51,100,1,false,0,-0.4579883741412808,8192288,1.3044453639003137,53801918031.8508,USD,8.958181414666624,6.3082,-29.071937754390703,0.898361810815572,1.566667,Consumer durables,america,Consumer Durables
171,NYSE,LMT,Lockheed Martin Corporation,lockheed-martin,stock,['common'],458955993.59999996,USD,447.2,100,1,false,0,0.269058295964123,1026288,0.6964967763827621,104405573656.84665,USD,25.178337171265618,17.7613,-35.54634626061902,2.92600896860987,1.770833,Electronic technology,america,Electronic Technology
172,NASDAQ,DUOL,"Duolingo, Inc.",duolingo,stock,['common'],455860775.44,USD,345.52,100,1,false,0,1.959395656279505,1319347,0.4532809493487492,15832260714.134562,USD,143.5897435897436,2.4063,73.60219320395352,0.0,1.44,Technology services,america,Technology Services
173,NASDAQ,SBET,"SharpLink Gaming, Inc.",sharplink-gaming,stock,['common'],455670988.96,USD,18.04,100,1,false,0,-7.344632768361581,25258924,0.4176788389500707,3046355421.8079095,USD,,-11.7186,95.26491366728568,0.0,,Commercial services,america,Commercial Services
174,NYSE,HPE,Hewlett Packard Enterprise Company,hewlett-packard-enterprise,stock,['common'],448675277.4,USD,21.82,100,1,false,0,3.707224334600766,20562570,1.4270847669919764,28632545117.95057,USD,22.543651203636742,0.9679,-29.44306750255139,2.47148288973384,1.5,Electronic technology,america,Electronic Technology
175,NASDAQ,NXPI,NXP Semiconductors N.V.,nxp-semiconductors,stock,['common'],448569410.24,USD,223.93,100,1,false,0,-2.115662018621324,2003168,0.659512288271263,56456021977.65305,USD,26.69233428295567,8.3893,-21.615106468461224,1.77295974122481,1.25,Electronic technology,america,Electronic Technology
176,NASDAQ,WBD,"Warner Bros. Discovery, Inc. - Series A",warner-bros-discovery,stock,['common'],446797513.33000004,USD,11.585,100,1,false,0,0.3899480069324238,38566898,0.8313253820246296,28681821036.386055,USD,38.360927152317885,0.302,,0.0,1.482143,Consumer services,america,Consumer Services
177,NASDAQ,ADP,"Automatic Data Processing, Inc.",automatic-data-processing,stock,['common'],444873001.78,USD,304.94,100,1,false,0,-1.3234961007021893,1458887,1.0759801895155126,123513858238.46107,USD,30.54715204455753,9.9826,9.671182008942795,1.94803093550788,1.911765,Technology services,america,Technology Services
178,NYSE,W,Wayfair Inc.,wayfair,stock,['common'],440877594.92,USD,76.37,100,1,false,0,-4.489744872436205,5772916,1.3112822407665976,9902205475.482994,USD,,-2.3991,54.65439355850833,0.0,1.513889,Retail trade,america,Retail Trade
179,NYSE,HUM,Humana Inc.,humana,stock,['common'],440574529.67,USD,294.47,100,1,false,0,1.541379310344837,1496161,1.0072462763163583,35416442855.708275,USD,22.60042672724761,13.0294,-7.135169808631191,1.22068965517241,1.722222,Finance,america,Finance
180,NASDAQ,LULU,lululemon athletica inc.,lululemon-athletica,stock,['common'],440491911.48,USD,198.18,100,1,false,0,0.03028467595396844,2222686,0.5929357477630587,24764855815.684433,USD,13.523860216594674,14.6541,17.42914152462917,0.0,1.647059,Consumer non-durables,america,Consumer Non-Durables
181,NYSE,BE,Bloom Energy Corporation,bloom-energy,stock,['common'],431296070.65999997,USD,44.83,100,1,false,0,0.71893956414289,9620702,0.877825882126915,10490128625.763649,USD,9538.297872340425,0.0047,,0.0,1.66,Producer manufacturing,america,Producer Manufacturing
182,NYSE,SYK,Stryker Corporation,stryker,stock,['common'],429972483.15,USD,384.83,100,1,false,0,-1.7965141501008042,1117305,0.8782881122707061,147123321047.979,USD,50.9216254482421,7.5573,-15.714397243009945,0.847219741240718,1.348485,Health technology,america,Health Technology
183,NASDAQ,ORLY,"O'Reilly Automotive, Inc.",o-reilly-auto,stock,['common'],429356954.34000003,USD,102.87,100,1,false,0,-1.0865384615384572,4173782,0.8887318018453834,87284855951.36049,USD,36.793161414929,2.7959,5.541504661960676,0.0,1.283333,Retail trade,america,Retail Trade
184,NASDAQ,EBAY,eBay Inc.,ebay,stock,['common'],427235155.48,USD,98.86,100,1,false,0,-0.2924861321230522,4321618,0.7496704289675183,45179020694.961365,USD,21.846065454224032,4.5253,-11.766885041335213,1.12960161371659,1.842857,Retail trade,america,Retail Trade
