,exchange,name,description,logoid,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,sector.tr,sector,market,recommendation_mark
318,NASDAQ,MB,MasterBeef Group,masterbeef,stock,['common'],240341550.0,USD,14.01,100,1,false,0,USD,-1.6842105263157907,20812,56.65183987060251,0.2473,,0.0,0.9643578670324171,Consumer services,Consumer Services,america,
319,NASDAQ,ORLY,"O'Reilly Automotive, Inc.",o-reilly-auto,stock,['common'],86453327907.36005,USD,101.89,100,1,false,0,USD,-1.6505791505791445,4259072,36.442648163382096,2.7959,5.541504661960676,0.0,0.884665130309656,Retail trade,Retail Trade,america,1.293103
320,NASDAQ,OLLI,"Ollie's Bargain Outlet Holdings, Inc.",ollies-bargain-outlet,stock,['common'],8152848445.277934,USD,132.91,100,1,false,0,USD,-1.6501405949385748,710458,40.872747401439206,3.2518,2.351200780586069,0.0,0.943457713332317,Retail trade,Retail Trade,america,1.352941
321,NASDAQ,VRSN,"VeriSign, Inc.",verisign,stock,['common'],24568329160.57415,USD,263.02,100,1,false,0,USD,-1.6453518809363674,1459975,31.391879311579498,8.3786,0.2584659566830343,0.287936579163862,0.9018593445964728,Technology services,Technology Services,america,1.833333
322,NASDAQ,WEST,Westrock Coffee Company,westrock-coffee-company,stock,['common'],625073258.3606557,USD,6.6,100,1,false,0,USD,-1.639344262295087,484280,,-0.935,-72.38200589970502,0.0,0.9726107291648257,Consumer non-durables,Consumer Non-Durables,america,1.0
323,NASDAQ,CSGS,"CSG Systems International, Inc.",csg-systems-intl,stock,['common'],1779037719.2772388,USD,61.84,100,1,false,0,USD,-1.6383012565611483,265948,21.430551705018022,2.8856,30.21073056270025,1.97232384285033,0.7617363997022345,Technology services,Technology Services,america,1.111111
324,NASDAQ,CRML,Critical Metals Corp.,critical-metals,stock,['common'],477234560.44715446,USD,4.84,100,1,false,0,USD,-1.6260162601626031,5296170,,-1.9609,-195.8955786932247,0.0,1.0533518515236844,Non-energy minerals,Non-Energy Minerals,america,
325,NASDAQ,HCTI,"Healthcare Triangle, Inc.",,stock,['common'],17728719.223300967,USD,3.04,100,1,false,0,USD,-1.6181229773462726,424405,,-227.845,45.83958800576678,0.0,0.19710722516890428,Technology services,Technology Services,america,
326,NASDAQ,PRTG,Portage Biotech Inc.,portage-biotech,stock,['common'],19846799.883615825,USD,8.71,100,1,false,0,USD,-1.5819209039547886,29456,,,,0.0,0.4200187650969242,Health technology,Health Technology,america,
327,NYSE,EW,Edwards Lifesciences Corporation,edwards,stock,['common'],45165603238.191666,USD,76.93,100,1,false,0,USD,-1.5736949846468653,3631200,52.51911523757509,1.4648,-39.71272173519364,0.0,0.8941861279748569,Health technology,Health Technology,america,1.541667
