,exchange,name,description,logoid,type,typespecs,Volatility.D,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
513,NASDAQ,FTHM,Fathom Holdings Inc.,fathom,stock,['common'],11.11965811965813,1.17,100,1,false,0,USD,-10.000000000000009,141108,32932131.299999997,USD,,-1.0566,12.994071146245057,0.0,1.3074356534444946,1.0,Technology services,Technology Services,america
514,NASDAQ,SNAL,"Snail, Inc.",snail,stock,['common'],11.111111111111121,1.0,10000,1,false,0,USD,-4.761904761904765,42593,37602484.0,USD,26.80965147453083,0.0373,,0.0,0.161699475035724,1.0,Technology services,Technology Services,america
515,NASDAQ,ANNX,"Annexon, Inc.",annexon,stock,['common'],11.111111111111121,2.38,100,1,false,0,USD,-8.461538461538469,1323176,261120283.89999998,USD,,-1.1721,19.757650441569123,0.0,1.5431352734444017,1.0,Health technology,Health Technology,america
516,NASDAQ,FAAS,DigiAsia Corp.,stonebridge-acquisition,stock,['common'],11.111111111111121,0.2519,10000,1,false,0,USD,-6.703703703703705,1398183,15288274.682592595,USD,,,,0.0,0.3576395167259896,,Technology services,Technology Services,america
517,NASDAQ,DGNX,Diginex Limited,diginex-limited,stock,['common'],11.111111111111109,54.94,100,1,false,0,USD,-3.614035087719302,24376,1263277339.22,USD,,-0.1859,-7.023603914795634,0.0,0.6122469483096398,,Technology services,Technology Services,america
518,NASDAQ,QTTB,Q32 Bio Inc.,homology-medicines,stock,['common'],11.111111111111107,1.88,100,1,false,0,USD,3.867403314917118,103281,22931517.082872927,USD,,-4.3042,81.28698192695131,0.0,0.5104458005020389,1.5,Health technology,Health Technology,america
519,NASDAQ,BJDX,"Bluejay Diagnostics, Inc.",bluejay-diagnostics,stock,['common'],11.111111111111102,1.31,100,1,false,0,USD,-5.072463768115931,365668,1957378.2681159424,USD,,-38.9824,98.25006424939315,0.0,0.03569957242091364,,Health technology,Health Technology,america
520,NASDAQ,CVKD,"Cadrenal Therapeutics, Inc.",cadrenal-therapeutics,stock,['common'],11.06454316848282,12.92,100,1,false,0,USD,10.616438356164386,61194,26445355.095890414,USD,,-8.8815,-40.70148757188349,0.0,1.8022141134269292,1.0,Health technology,Health Technology,america
521,NASDAQ,RLYB,Rallybio Corporation,rallybio,stock,['common'],11.06341463414636,0.546,10000,1,false,0,USD,1.9798281658573131,250354,22815412.581247665,USD,,-0.9316,47.838745800671894,0.0,0.49574941519929366,1.75,Health technology,Health Technology,america
522,NASDAQ,ILLR,Triller Group Inc.,agba-limited,stock,['common'],11.060537096040049,0.4394,10000,1,false,0,USD,-9.12099276111685,161295,77047285.04364012,USD,,,,0.0,0.43050228602999463,,Technology services,Technology Services,america
