,ticker,name,description,logoid,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
134,NASDAQ:FLY,FLY,Firefly Aerospace Inc.,,stock,['common'],7702458951.04,USD,53.62,100,1,false,0,USD,6.876619493721339,3406321,,,,0.0,Electronic technology,Electronic Technology,america,,
135,NASDAQ:LIVE,LIVE,Live Ventures Incorporated,live-ventures,stock,['common'],47105838.961645745,USD,15.31,100,1,false,0,USD,6.7642956764295725,7133,146.22731614135625,0.1047,,0.0,Consumer durables,Consumer Durables,america,,0.298128806021926
136,NASDAQ:III,III,"Information Services Group, Inc.",isg,stock,['common'],228446525.87837836,USD,4.74,100,1,false,0,USD,6.756756756756752,688360,30.365150544522745,0.1561,,4.05405405405405,Commercial services,Commercial Services,america,1.0,2.3490268409997936
137,NASDAQ:NTHI,NTHI,"NeOnc Technologies Holdings, Inc.",neonc-technologies,stock,['common'],97226820.25,USD,5.11,100,1,false,0,USD,6.680584551148232,114643,,,,0.0,Health technology,Health Technology,america,,0.19800972958147187
138,NASDAQ:NSPR,NSPR,InspireMD Inc.,inspiremd,stock,['common'],107639308.98347107,USD,2.58,100,1,false,0,USD,6.61157024793389,102271,,-0.832,-0.7751937984496077,0.0,Health technology,Health Technology,america,1.0,0.6391146595608782
139,NASDAQ:AENT,AENT,Alliance Entertainment Holding Corporation,alliance-entertainment,stock,['common'],271602786.36399996,USD,5.33,100,1,false,0,USD,6.600000000000001,38476,22.97413793103448,0.232,,0.0,Distribution services,Distribution Services,america,1.0,0.8722639734303624
140,NASDAQ:LSTA,LSTA,"Lisata Therapeutics, Inc.",lisata-therapeutics,stock,['common'],24253975.10769231,USD,2.77,100,1,false,0,USD,6.538461538461536,28774,,-2.2317,12.946637540958031,0.0,Health technology,Health Technology,america,1.0,0.6879831291827362
141,NASDAQ:LNW,LNW,"Light & Wonder, Inc.",scientific-games,stock,['common'],7051513970.7329445,USD,84.0,100,1,false,0,USD,6.517879786964241,2868640,21.26313124920896,3.9505,18.772736838940503,0.0,Consumer services,Consumer Services,america,1.34,1.8739051728102412
142,NASDAQ:NTCL,NTCL,NETCLASS TECHNOLOGY INC,netclass-technology,stock,['common'],29308800.0,USD,2.13,100,1,false,0,USD,6.499999999999995,1118156,,,,0.0,Technology services,Technology Services,america,,4.223367601544978
143,NASDAQ:EPSM,EPSM,Epsium Enterprise Limited,epsium-enterprise-limited,stock,['common'],268626299.65999997,USD,19.99,100,1,false,0,USD,6.499733617474687,384484,,,,0.0,Distribution services,Distribution Services,america,,0.788379479545366
144,NASDAQ:ASPI,ASPI,ASP Isotopes Inc.,asp-isotopes,stock,['common'],906741644.6351931,USD,9.92,100,1,false,0,USD,6.437768240343343,3617290,,-0.608,-16.230166316191927,0.0,Health technology,Health Technology,america,1.0,0.9761872846916554
145,NASDAQ:ATXS,ATXS,"Astria Therapeutics, Inc.",astria-therapeutics,stock,['common'],376980597.47133756,USD,6.68,100,1,false,0,USD,6.369426751592348,309476,,-1.8875,18.70181332644183,0.0,Health technology,Health Technology,america,1.0,1.32260805199556
146,NASDAQ:VERI,VERI,"Veritone, Inc.",veritone,stock,['common'],163095202.08450702,USD,3.02,100,1,false,0,USD,6.33802816901409,3530909,,-2.4347,-7.959382759843916,0.0,Commercial services,Commercial Services,america,1.25,1.5389299380058068
