,ticker,name,description,logoid,type,typespecs,relative_volume_10d_calc,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark
88,AMEX:MYO,MYO,Myomo Inc.,myomo,stock,['common'],4.76116866932695,1.76,100,1,false,0,USD,-3.8251366120218613,1875152,63322900.54644809,USD,,-0.1457,45.63432835820896,0.0,Distribution services,Distribution Services,america,1.0
89,NYSE:OMI,OMI,"Owens & Minor, Inc.",owens-and-minor,stock,['common'],4.734487380910023,4.63,100,1,false,0,USD,-34.696755994358256,6051689,354723491.31734836,USD,,-4.7421,-820.7961165048542,0.0,Health technology,Health Technology,america,1.857143
90,NASDAQ:LENZ,LENZ,"LENZ Therapeutics, Inc.",graphite-bio,stock,['common'],4.731221911729092,38.77,100,1,false,0,USD,11.79354094579009,2770226,1105801696.2629757,USD,,-1.8983,79.89898134225629,0.0,Health technology,Health Technology,america,1.0625
91,NASDAQ:NXTT,NXTT,Next Technology Holding Inc.,wetrade,stock,['common'],4.497884796015699,1.6,100,1,false,0,USD,-8.045977011494248,988376,698024222.5287356,USD,0.4528985507246377,3.5328,-55.75759852725702,0.0,Technology services,Technology Services,america,
92,NASDAQ:TRAW,TRAW,"Traws Pharma, Inc.",onconova-therapeutics,stock,['common'],4.480194504891406,1.62,100,1,false,0,USD,8.000000000000007,233471,9014189.760000002,USD,,-105.9134,-390.21045372286017,0.0,Health technology,Health Technology,america,
93,NASDAQ:AACI,AACI,Armada Acquisition Corp. II,armada-acquisition-ii,stock,['common'],4.423209624673727,10.04,100,1,false,0,USD,-0.09950248756220459,73715,230919999.99999997,USD,,,,0.0,Finance,Finance,america,
94,NASDAQ:KPRX,KPRX,"Kiora Pharmaceuticals, Inc.",kiora-pharmaceuticals,stock,['common'],4.35075597562908,2.45,100,1,false,0,USD,3.8135593220339112,249860,7457449.110169493,USD,,-3.2769,57.42073804573805,0.0,Health technology,Health Technology,america,1.0
95,AMEX:CTGO,CTGO,"Contango ORE, Inc.",contango-ore,stock,['common'],4.330334925591238,22.29,100,1,false,0,USD,12.010050251256285,314116,279817258.49698496,USD,,-3.7071,37.926357562666404,0.0,Non-energy minerals,Non-Energy Minerals,america,1.0
96,NASDAQ:LSH,LSH,Lakeside Holding Limited,lakeside-limited,stock,['common'],4.298849399711498,0.8435,10000,1,false,0,USD,-0.7763792495000518,75695,8856750.0,USD,,-0.5801,-1771.7579250720457,0.0,Transportation,Transportation,america,
97,NYSE:AMC,AMC,"AMC Entertainment Holdings, Inc.",amc-entertainment-holdings,stock,['common'],4.270636381260413,3.03,100,1,false,0,USD,3.4129692832764382,40881327,1312425000.450512,USD,,-0.9813,26.0735271960223,0.0,Consumer services,Consumer Services,america,2.0
98,NASDAQ:NTCL,NTCL,NETCLASS TECHNOLOGY INC,netclass-technology,stock,['common'],4.223367601544978,2.13,100,1,false,0,USD,6.499999999999995,1118156,29308800.0,USD,,,,0.0,Technology services,Technology Services,america,
99,NASDAQ:EDUC,EDUC,Educational Development Corporation,educational-development,stock,['common'],4.192098838188247,1.17,100,1,false,0,USD,-7.1428571428571495,39835,10042345.857142854,USD,,-0.601,-3656.2130177514796,0.0,Consumer services,Consumer Services,america,
100,NASDAQ:AVDX,AVDX,"AvidXchange Holdings, Inc.",avidxchange-holdings,stock,['common'],4.187734667976268,9.86,100,1,false,0,USD,0.0,5837329,2047909562.0,USD,,-0.0395,39.04320987654321,0.0,Technology services,Technology Services,america,2.0
101,NASDAQ:NCPL,NCPL,Netcapital Inc.,netcapital,stock,['common'],4.178755663386521,2.49,100,1,false,0,USD,-20.192307692307686,646914,11379546.60576923,USD,,-16.9907,-261.573492796493,0.0,Commercial services,Commercial Services,america,
