,exchange,name,description,logoid,type,typespecs,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,pricescale,fractional,minmove2,fundamental_currency_code,currency
435,AMEX,MWG,Multi Ways Holdings Limited,multi-ways-holdings-limited,stock,['common'],0.24,0.0032999999999999974,1.394169835234473,6100,-2.9995775242923512,0.239,0.9716941275876622,24806,7965870.000000001,,10000,false,0,USD,USD
436,AMEX,TGEN,Tecogen Inc.,tecogen,stock,['common'],8.75,0.11999999999999922,1.3904982618771635,650,0.4634994206257143,8.33,-3.4762456546929394,554219,247324359.0,1178.0207049567402,100,false,0,USD,USD
437,NASDAQ,JUNS,"Jupiter Neurosciences, Inc.",jupiter-neurosciences,stock,['common'],1.46,0.020000000000000018,1.3888888888888902,7247,1.3888888888888902,1.48,2.7777777777777803,173418,51552958.99999999,,100,false,0,USD,USD
438,NASDAQ,NEOV,NeoVolta Inc.,neovolta,stock,['common'],3.67,0.04999999999999982,1.3812154696132548,2651,5.80110497237569,3.77,4.143646408839777,139276,128650759.99999997,31.436278911080144,100,false,0,USD,USD
439,NASDAQ,NAMM,Namib Minerals,namib-minerals,stock,['common'],2.94,0.040000000000000036,1.3793103448275874,1758,9.655172413793112,2.93,1.0344827586206984,66362,157274871.0,-14.652180480735343,100,false,0,USD,USD
440,NASDAQ,BLNE,"Beeline Holdings, Inc.",beeline,stock,['common'],1.47,0.020000000000000018,1.3793103448275874,1047,0.6896551724137937,1.46,0.6896551724137937,325487,28630919.0,2485.706184891515,100,false,0,USD,USD
441,NASDAQ,INTZ,Intrusion Inc.,intrusion,stock,['common'],1.8248,0.024799999999999933,1.377777777777774,1706,0.0388888888888846,1.79,-0.555555555555556,81960,35621077.00000001,338.5857352140163,100,false,0,USD,USD
442,NASDAQ,RYET,Ruanyun Edai Technology Inc.,ruanyun-edai-technology,stock,['common'],1.48,0.020000000000000018,1.3698630136986314,1554,0.0,1.47,0.6849315068493157,45611,49612505.88,,100,false,0,USD,USD
443,NASDAQ,SAVA,"Cassava Sciences, Inc.",cassava-sciences,stock,['common'],2.1894,0.02939999999999987,1.361111111111105,1113,0.0,2.25,4.16666666666666,625184,108692765.0,-92.49607387215048,100,false,0,USD,USD
444,NASDAQ,INBS,Intelligent Bio Solutions Inc.,gbs-inc,stock,['common'],1.49,0.020000000000000018,1.360544217687076,1000,4.061224489795924,1.463,-0.47619047619046906,187112,13136501.0,275.73805879920974,100,false,0,USD,USD
445,NASDAQ,OSS,"One Stop Systems, Inc.",one-stop-systems,stock,['common'],5.97,0.08000000000000007,1.3582342954159605,1080,1.3582342954159605,6.2,5.2631578947368505,882287,135933868.0,164.63293084329646,100,false,0,USD,USD
446,NYSE,HIMS,"Hims & Hers Health, Inc.",hims-and-hers-health,stock,['common'],43.57,0.5799999999999983,1.349150965340773,194263,1.0467550593161101,45.35,5.489648755524539,29413290,10249987405.0,183.5585156963537,100,false,0,USD,USD
447,NASDAQ,AVAH,Aveanna Healthcare Holdings Inc.,aveanna-healthcare,stock,['common'],7.53,0.10000000000000053,1.3458950201884325,2753,1.2113055181695809,7.67,3.2301480484522234,1411405,1602235232.0,46.08382516219051,100,false,0,USD,USD
448,NASDAQ,NRIX,"Nurix Therapeutics, Inc.",nurix-therapeutics,stock,['common'],9.8,0.13000000000000078,1.344364012409522,182,1.344364012409522,9.53,-1.4477766287487133,620553,728562270.0000001,-48.39309783748336,100,false,0,USD,USD
449,NASDAQ,AFRM,"Affirm Holdings, Inc.",affirm,stock,['common'],78.43,1.0400000000000063,1.3438428737563073,20069,0.6589998707843456,77.95,0.7236077012533948,19333150,25146666565.000004,170.46561737997484,100,false,0,USD,USD
450,NASDAQ,GYRE,"Gyre Therapeutics, Inc.",gyre-therapeutics,stock,['common'],8.31,0.11000000000000121,1.3414634146341613,357,2.4390243902439157,7.76,-5.3658536585365795,152423,704815792.0,-29.0979626688985,100,false,0,USD,USD
451,NASDAQ,JCAP,"Jefferson Capital, Inc.",jefferson-capital,stock,['common'],19.74,0.259999999999998,1.334702258726889,1670,1.386036960985624,19.69,1.0780287474332693,219504,1147263604.52,,100,false,0,USD,USD
452,NASDAQ,ARAI,Arrive AI Inc.,arrive-ai,stock,['common'],5.34,0.07000000000000028,1.3282732447817893,729,1.3282732447817893,5.47,3.795066413662243,87130,180650298.99999997,,100,false,0,USD,USD
453,NASDAQ,OXSQ,Oxford Square Capital Corp.,oxford-square-capital-625-notes-due-2026,stock,['common'],2.2292,0.029199999999999893,1.3272727272727223,1711,0.004545454545443952,2.21,0.4545454545454448,642064,172456467.0,-6.768414215067758,100,false,0,USD,USD
454,NASDAQ,SGMO,"Sangamo Therapeutics, Inc.",sangamo-therapeutics,stock,['common'],0.5573,0.007299999999999973,1.3272727272727223,115421,0.8545454545454412,0.54,-1.8181818181818195,3064125,162923138.0,-0.9745305401361264,10000,false,0,USD,USD
455,NASDAQ,OS,"OneStream, Inc.",onestream,stock,['common'],19.88,0.259999999999998,1.3251783893985627,900,1.3251783893985627,19.73,0.5606523955147779,937567,4791324580.0,,100,false,0,USD,USD
456,NASDAQ,TALK,"Talkspace, Inc.",talkspace,stock,['common'],2.69,0.03500000000000014,1.3182674199623405,478,-0.18455743879471498,2.67,0.564971751412434,858054,447137256.99999994,47.91332113400551,100,false,0,USD,USD
457,NASDAQ,SUNE,"SUNation Energy, Inc.",sunation-energy,stock,['common'],1.54,0.020000000000000018,1.3157894736842117,1390,-3.2894736842105288,1.52,0.0,79189,5178053.0,-34.647081857339295,100,false,0,USD,USD
458,NASDAQ,GRPN,"Groupon, Inc.",groupon,stock,['common'],26.4996,0.3396000000000008,1.2981651376146819,1246,1.2996941896024459,26.25,0.34403669724770586,767271,1061182064.9999999,118.36657534725116,100,false,0,USD,USD
459,NASDAQ,SEGG,"Lottery.com, Inc.",lottery-com,stock,['common'],0.7288,0.009299999999999975,1.2925642807505178,4861,1.417651146629602,0.751,4.3780403057678905,379133,29591463.0,177.7254218184487,10000,false,0,USD,USD
460,NASDAQ,MSPR,"MSP Recovery, Inc.",msp-recovery,stock,['common'],0.4,0.005100000000000049,1.2914661939731702,9686,7.318308432514571,0.4452,12.737401873892129,303125,4384516.999999999,-99.33189861488833,10000,false,0,USD,USD
461,AMEX,PZG,Paramount Gold Nevada Corp.,paramount-gold-nevada,stock,['common'],0.87,0.01100000000000001,1.280558789289873,12362,0.0,0.889,3.492433061699654,1129552,63518294.00000001,97.67989405776113,10000,false,0,USD,USD
462,NASDAQ,PROK,ProKidney Corp.,prokidney,stock,['common'],2.38,0.029999999999999805,1.2765957446808427,22611,0.0,2.38,1.2765957446808427,1770877,700392292.0,7.4445901659062965,100,false,0,USD,USD
463,NASDAQ,ZUMZ,Zumiez Inc.,zumiez,stock,['common'],16.7,0.21000000000000085,1.273499090357798,5251,0.9702850212249857,16.9,2.486355366889025,333183,300323832.0,-49.15049677369631,100,false,0,USD,USD
464,NYSE,ATUS,"Altice USA, Inc.",altice-usa,stock,['common'],2.4,0.029999999999999805,1.2658227848101182,3000,0.8438818565400852,2.38,0.42194092827003316,1948688,1115376003.0,48.17398475451464,100,false,0,USD,USD
465,NASDAQ,OKTA,"Okta, Inc.",okta,stock,['common'],92.49,1.1400000000000006,1.2479474548440073,92209,1.0509031198686458,91.56,0.22988505747127308,12491669,16029722057.000002,-2.9896715989104665,100,false,0,USD,USD
466,NYSE,ALB,Albemarle Corporation,albemarle,stock,['common'],82.3,1.009999999999991,1.2424652478779563,25732,0.3690490835281057,81.53,0.2952392668224811,2495915,9594689139.0,0.5023257373857364,100,false,0,USD,USD
467,NYSE,TE,T1 Energy Inc.,freyr-battery,stock,['common'],1.64,0.019999999999999796,1.2345679012345552,4900,-1.8518518518518534,1.61,-0.6172839506172845,1168395,251060335.00000006,33.366746009633786,100,false,0,USD,USD
468,NASDAQ,TPST,"Tempest Therapeutics, Inc.",tempest-therapeutics,stock,['common'],10.7,0.129999999999999,1.2298959318826774,1840,2.9328287606433348,10.97,3.7842951750236553,68843,48708570.0,23.421159395730367,100,false,0,USD,USD
469,NYSE,VVX,"V2X, Inc.",vectrus,stock,['common'],58.5,0.7100000000000009,1.228586260598721,2093,0.4326007959854646,58.0,0.36338466862779173,355179,1839169548.0,29.938370788518014,100,false,0,USD,USD
470,NASDAQ,DCGO,DocGo Inc.,docgo,stock,['common'],1.66,0.020000000000000018,1.2195121951219523,240,1.2195121951219523,1.65,0.6097560975609762,299232,161383435.0,-54.376053610983185,100,false,0,USD,USD
471,NASDAQ,DSP,Viant Technology Inc.,viant-technology,stock,['common'],9.99,0.120000000000001,1.2158054711246302,750,3.6474164133738727,10.1,2.3302938196555263,308017,635806472.9999999,-9.662649915302296,100,false,0,USD,USD
472,NASDAQ,ACHV,"Achieve Life Sciences, Inc.",achieve-life-science,stock,['common'],3.35,0.040000000000000036,1.2084592145015116,91094,3.625377643504535,3.12,-5.740181268882173,1884279,159447498.0,-14.503765701744673,100,false,0,USD,USD
473,NASDAQ,RKLB,Rocket Lab Corporation,rocket-lab,stock,['common'],47.79,0.5700000000000003,1.2071156289707758,350354,-0.44472681067344527,48.13,1.927149512918263,47698025,23218552623.0,507.5351869778219,100,false,0,USD,USD
474,NASDAQ,PRSO,Peraso Inc.,peraso,stock,['common'],0.84,0.010000000000000009,1.204819277108435,2317,0.7469879518072403,0.8391,1.0963855421686743,85300,5228466.0,31.51942095399682,10000,false,0,USD,USD
475,NASDAQ,PBYI,Puma Biotechnology Inc,puma-biotechnology,stock,['common'],5.05,0.05999999999999961,1.2024048096192306,201,0.4008016032064043,5.18,3.807615230460912,639543,260920340.0,81.62928243057436,100,false,0,USD,USD
476,NASDAQ,JVA,"Coffee Holding Co., Inc.",coffee-co,stock,['common'],4.24,0.04999999999999982,1.1933174224343632,100,1.1933174224343632,4.14,-1.1933174224343843,30390,23633599.0,83.98268155340041,100,false,0,USD,USD
477,NASDAQ,MIST,Milestone Pharmaceuticals Inc.,milestone-pharmaceuticals,stock,['common'],1.71,0.020000000000000018,1.1834319526627228,4163,2.35502958579882,1.69,0.0,855415,143640296.0,99.4437531307538,100,false,0,USD,USD
478,NASDAQ,PUBM,"PubMatic, Inc.",pubmatic,stock,['common'],8.6,0.09999999999999964,1.17647058823529,100,1.17647058823529,8.33,-1.9999999999999991,570958,380904183.0,-46.16604102373847,100,false,0,USD,USD
479,NASDAQ,AMLX,"Amylyx Pharmaceuticals, Inc.",amylyx-pharmaceuticals,stock,['common'],8.6,0.09999999999999964,1.17647058823529,772,1.9999999999999991,9.16,7.764705882352943,953006,816773618.0,375.65824866045307,100,false,0,USD,USD
480,NYSE,AMBQ,"Ambiq Micro, Inc.",ambiq-micro,stock,['common'],38.94,0.44999999999999574,1.1691348402182273,600,1.273057937126513,40.94,6.365289685632621,154210,722020542.04,,100,false,0,USD,USD
481,NASDAQ,ABSI,Absci Corporation,absci,stock,['common'],2.5691,0.029100000000000126,1.1456692913385877,98010,0.0,2.55,0.3937007874015664,2842060,381282734.99999994,-10.639423852085278,100,false,0,USD,USD
482,NASDAQ,BTCT,BTC Digital Ltd.,btc-digital-ltd,stock,['common'],2.65,0.029999999999999805,1.1450381679389239,1230,0.3816793893129689,2.65,1.1450381679389239,99916,25219982.999999996,514.6898698986431,100,false,0,USD,USD
483,NASDAQ,MDXH,MDxHealth SA,mdxhealth,stock,['common'],3.58,0.040000000000000036,1.12994350282486,370,0.7994350282485809,3.62,2.25988700564972,293039,179180356.0,59.45024703091583,100,false,0,USD,USD
484,NYSE,SRFM,Surf Air Mobility Inc.,surf-air-mobility,stock,['common'],4.48,0.05000000000000071,1.1286681715575781,15574,0.22573363431152765,4.88,10.158013544018063,2645718,208991220.99999997,657.73243368131,100,false,0,USD,USD
485,NASDAQ,GEVO,"Gevo, Inc.",gevo,stock,['common'],1.8,0.020000000000000018,1.1235955056179785,49769,0.0,1.77,-0.5617977528089892,3291291,428055168.0,118.56276690667923,100,false,0,USD,USD
486,NASDAQ,XNCR,"Xencor, Inc.",xencor,stock,['common'],8.1,0.08999999999999986,1.1235955056179758,900,1.1235955056179758,7.9,-1.3732833957552988,778840,563452053.0,-46.5682658047008,100,false,0,USD,USD
487,NASDAQ,OPRX,OptimizeRx Corporation,optimizerx,stock,['common'],17.19,0.19000000000000128,1.117647058823537,280,1.00000000000001,17.61,3.5882352941176436,243710,326930242.0,103.61347718957173,100,false,0,USD,USD
488,NASDAQ,DYNX,Dynamix Corporation,dynamix,stock,['common'],10.89,0.120000000000001,1.114206128133714,13709,-0.09285051067780675,11.16,3.621169916434546,868614,247007996.99999997,,100,false,0,USD,USD
489,NASDAQ,INVA,"Innoviva, Inc.",innoviva,stock,['common'],19.98,0.21999999999999886,1.1133603238866339,200,1.1133603238866339,19.93,0.8603238866396667,698418,1256008852.0,12.964360593968015,100,false,0,USD,USD
490,NYSE,SOC,Sable Offshore Corp.,sable-offshore,stock,['common'],28.35,0.3100000000000023,1.1055634807418055,100,1.1055634807418055,28.4,1.2838801711840209,1456804,2826005803.0,188.28737486690338,100,false,0,USD,USD
