,ticker,name,description,logoid,type,typespecs,cash_n_short_term_invest_fq,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
144,NYSE:BEN,BEN,"Franklin Resources, Inc.",franklin-resources,stock,['common'],3957000000.0,USD,25.29,100,1,false,0,USD,1.2004801920768338,2524219,13130453963.250902,48.49472674976031,0.5215,-67.8701250693118,5.08203281312525,Finance,Finance,america,2.208333,0.494552682894803
145,NASDAQ:DDOG,DDOG,"Datadog, Inc.",datadog,stock,['common'],3910970000.0,USD,128.83,100,1,false,0,USD,-1.5888778550148834,8532863,44439551388.6723,372.2334585379948,0.3461,-24.76086956521739,0.0,Technology services,Technology Services,america,1.26087,1.2126541504575374
146,NYSE:SNOW,SNOW,Snowflake Inc.,snowflake,stock,['common'],3910684000.0,USD,191.8,100,1,false,0,USD,0.0365096750639032,5211002,63995600960.744804,,-4.207,-49.96078990518285,0.0,Technology services,Technology Services,america,1.283019,1.089961829806552
147,NASDAQ:NTAP,NTAP,"NetApp, Inc.",netapp,stock,['common'],3853000000.0,USD,105.88,100,1,false,0,USD,-0.31070520666603735,1334343,21186470525.138123,18.635595606871302,5.6816,22.182318659813774,1.95838433292534,Electronic technology,Electronic Technology,america,1.75,1.0108040356317582
148,NYSE:LUV,LUV,Southwest Airlines Company,southwest,stock,['common'],3839000000.0,USD,29.06,100,1,false,0,USD,-1.890614449696159,7960837,15261954503.134367,43.699248120300744,0.665,464.0373197625106,2.43079000675219,Transportation,Transportation,america,2.041667,0.7530557653516081
149,NASDAQ:ROST,ROST,"Ross Stores, Inc.",ross-stores,stock,['common'],3800463000.0,USD,146.49,100,1,false,0,USD,0.8745351879906419,2399337,47912561774.66926,23.16633456684695,6.3234,6.578348586742189,1.0639030436579,Retail trade,Retail Trade,america,1.475,1.0048147275517012
150,NYSE:VZ,VZ,Verizon Communications Inc.,verizon,stock,['common'],3780000000.0,USD,43.18,100,1,false,0,USD,0.06952491309386127,12912584,182060928371.3321,10.031595576619273,4.3044,61.425089068066754,6.28041714947856,Communications,Communications,america,1.648148,0.7780468535351223
151,NASDAQ:GEHC,GEHC,GE HealthCare Technologies Inc.,ge-healthcare-technologies,stock,['common'],3763000000.0,USD,73.0,100,1,false,0,USD,1.3888888888888888,4130097,33329029083.236115,14.944623006530596,4.8847,41.74985490423678,0.1875,Health technology,Health Technology,america,1.210526,0.788953120093037
152,NYSE:SLB,SLB,Schlumberger N.V.,schlumberger,stock,['common'],3747000000.0,USD,32.37,100,1,false,0,USD,-1.5211439002129603,10018229,48583081134.53574,11.0886544258701,2.9192,-4.513934318984688,3.40736233647703,Industrial services,Industrial Services,america,1.181818,0.7542354797329408
153,NYSE:VG,VG,"Venture Global, Inc.",venture-global,stock,['common'],3668000000.0,USD,12.07,100,1,false,0,USD,-2.2672064777327883,7628533,29207728562.037247,,,,0.0,Industrial services,Industrial Services,america,1.566667,1.1085360261533448
