,ticker,name,description,logoid,type,typespecs,Volatility.D,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
262,NASDAQ:WYFI,WYFI,"WhiteFiber, Inc.",,stock,['common'],15.578231292517001,14.71,100,1,false,0,USD,-3.856209150326796,1351947,512735437.5,USD,,,,0.0,Technology services,Technology Services,america,,
263,NASDAQ:MEIP,MEIP,"MEI Pharma, Inc.",mei-pharma,stock,['common'],15.577083333333336,4.83,100,1,false,0,USD,-6.936416184971105,946731,32181600.39884393,USD,,-4.7521,-221.0602741121924,0.0,Health technology,Health Technology,america,,1.6144506937630392
264,NASDAQ:PROK,PROK,ProKidney Corp.,,stock,['common'],15.555555555555559,2.255,100,1,false,0,USD,-12.934362934362934,2913925,660056273.5791507,USD,,-0.6026,-5.626643295354955,0.0,Health technology,Health Technology,america,1.642857,0.9778047048247381
265,NYSE:NXDR,NXDR,"Nextdoor Holdings, Inc.",nextdoor-holdings,stock,['common'],15.555555555555557,1.89,100,1,false,0,USD,-9.134615384615392,3917285,723068499.1586537,USD,,-0.1684,56.49702919142341,0.0,Technology services,Technology Services,america,2.0,1.709507284886358
266,NASDAQ:NRXP,NRXP,"NRX Pharmaceuticals, Inc.",nrx-pharmaceuticals,stock,['common'],15.517241379310358,2.32,100,1,false,0,USD,-7.936507936507943,1760734,45247915.61904761,USD,,-2.0076,36.96505384784451,0.0,Health technology,Health Technology,america,1.0,12.318467549821772
267,NASDAQ:OPRX,OPRX,OptimizeRx Corporation,optimizerx,stock,['common'],15.506958250497018,16.18,100,1,false,0,USD,-6.473988439306363,822893,299250890.08786124,USD,,-0.5406,45.912956478239124,0.0,Technology services,Technology Services,america,1.142857,1.7270981251517703
268,NASDAQ:STSS,STSS,Sharps Technology Inc.,sharps-technology,stock,['common'],15.492957746478872,5.69,100,1,false,0,USD,-12.461538461538456,60608,5822087.66,USD,,-1647.567,61.624694291104746,0.0,Health technology,Health Technology,america,1.0,0.7618616636812165
269,AMEX:TOVX,TOVX,"Theriva Biologics, Inc.",synthetic-biologics,stock,['common'],15.480717001629547,0.423,10000,1,false,0,USD,14.016172506738542,418000,3832055.053908356,USD,,-20.6832,28.063939455067782,0.0,Health technology,Health Technology,america,1.5,0.7283888509108258
270,NYSE:EE,EE,"Excelerate Energy, Inc.",excelerate-energy,stock,['common'],15.433403805496829,23.81,100,1,false,0,USD,-2.097039473684217,1511601,2714773396.8256574,USD,20.251764906013438,1.1757,59.26578163099432,0.842927631578947,Utilities,Utilities,america,1.681818,3.1240662270187736
271,NASDAQ:AARD,AARD,"Aardvark Therapeutics, Inc.",aardvark-therapeutics,stock,['common'],15.362453531598517,11.15,100,1,false,0,USD,-7.005838198498749,73947,241909492.37698084,USD,,-3.1577,,0.0,Health technology,Health Technology,america,1.0,2.7503496191383
272,NASDAQ:QTTB,QTTB,Q32 Bio Inc.,homology-medicines,stock,['common'],15.358622888109652,1.79,100,1,false,0,USD,9.81595092024541,190807,21833731.453987733,USD,,-4.3042,81.28698192695131,0.0,Health technology,Health Technology,america,1.5,0.8832316203835714
273,NASDAQ:FLNT,FLNT,"Fluent, Inc.",fluent,stock,['common'],15.34883720930233,2.33,100,1,false,0,USD,1.3043478260869674,54523,48159205.60869566,USD,,-1.808,33.404545287119234,0.0,Technology services,Technology Services,america,2.0,5.820629430352742
274,NASDAQ:DGLY,DGLY,"Digital Ally, Inc.",digital-ally,stock,['common'],15.34090909090908,1.8,100,1,false,0,USD,1.1235955056179785,319865,3109357.4157303376,USD,,-5855.52,65.07119951133848,0.0,Commercial services,Commercial Services,america,,5.409219509142996
275,NASDAQ:CLGN,CLGN,CollPlant Biotechnologies Ltd.,collplant-biotechnologies-ltd,stock,['common'],15.331385514377981,2.98,100,1,false,0,USD,4.561403508771926,62091,37893719.73333333,USD,,-1.2105,-80.96875467184927,0.0,Health technology,Health Technology,america,1.0,1.6518044788745883
276,NASDAQ:AGFY,AGFY,Agrify Corporation,agrify,stock,['common'],15.319999999999993,26.69,100,1,false,0,USD,3.0903943236551723,31341,52099256.486120075,USD,,-30.0795,-140.0866816723337,0.0,Producer manufacturing,Producer Manufacturing,america,,6.15168704732369
277,NASDAQ:FLL,FLL,"Full House Resorts, Inc.",full-house-resorts,stock,['common'],15.238532110091743,3.32,100,1,false,0,USD,-8.033240997229917,474510,119439144.66481996,USD,,-1.1484,-41.76027650907296,0.0,Consumer services,Consumer Services,america,1.2,2.784392240716639
278,NASDAQ:NTHI,NTHI,"NeOnc Technologies Holdings, Inc.",neonc-technologies,stock,['common'],15.236051502145923,5.11,100,1,false,0,USD,6.680584551148232,114643,97226820.25,USD,,,,0.0,Health technology,Health Technology,america,,0.19800972958147187
279,NASDAQ:WIMI,WIMI,WiMi Hologram Cloud Inc.,wimi-hologram-cloud,stock,['common'],15.223097112860893,3.84,100,1,false,0,USD,6.0773480662983355,926468,37711891.09392265,USD,7.562032296179598,0.5078,,0.0,Technology services,Technology Services,america,,3.156100716645268
280,NASDAQ:SLRX,SLRX,"Salarius Pharmaceuticals, Inc.",salarius-pharmaceuticals,stock,['common'],15.206929740134738,0.5694,10000,1,false,0,USD,13.880000000000003,1206643,4353401.2236,USD,,-5.174,76.17655319756332,0.0,Health technology,Health Technology,america,,0.0996115576626143
281,NASDAQ:APM,APM,Aptorum Group Limited,aptorum-limited,stock,['common'],15.199999999999994,1.42,100,1,false,0,USD,12.698412698412692,256861,10144135.142857142,USD,,-0.7847,13.91113549094899,0.0,Health technology,Health Technology,america,,2.1533855790963297
282,NASDAQ:PAVS,PAVS,Paranovus Entertainment Technology Ltd.,paranovus-entertainment-technology-ltd,stock,['common'],15.168539325842696,0.712,10000,1,false,0,USD,-8.717831689527811,2355,47943892.276784964,USD,,-0.1571,,0.0,Health technology,Health Technology,america,,0.25791260541014127
283,NASDAQ:SLXN,SLXN,Silexion Therapeutics Corp,silexion-therapeutics,stock,['common'],15.138888888888875,7.6,100,1,false,0,USD,-7.654921020656145,54079,4404146.439854192,USD,,-296.5916,-1881.9944801962006,0.0,Health technology,Health Technology,america,1.0,0.1974007159704513
284,NASDAQ:ATHR,ATHR,"Aether Holdings, Inc.",aether,stock,['common'],15.131578947368425,8.45,100,1,false,0,USD,-0.5882352941176554,82299,102255756.85,USD,,-0.1102,-130.5439330543933,0.0,Technology services,Technology Services,america,,1.6188417371189383
285,NASDAQ:JFB,JFB,JFB Construction Holdings,jfb-construction,stock,['common'],15.085237622642934,8.0,100,1,false,0,USD,-5.771495877502947,33984,42000000.0,USD,2051.2820512820513,0.0039,-98.94423389279913,0.0,Industrial services,Industrial Services,america,,0.5069061185525492
286,NASDAQ:TRAW,TRAW,"Traws Pharma, Inc.",onconova-therapeutics,stock,['common'],15.083418454204974,1.62,100,1,false,0,USD,8.000000000000007,233471,9014189.760000002,USD,,-105.9134,-390.21045372286017,0.0,Health technology,Health Technology,america,,4.480194504891406
