,ticker,name,description,logoid,type,typespecs,Perf.Y,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
352,NASDAQ:ELTX,ELTX,"Elicio Therapeutics, Inc.",elicio-therapeutics,stock,['common'],91.79600886917962,8.65,100,1,false,0,USD,-5.978260869565206,93631,141326149.26630437,USD,,-4.1798,-4.599599599599604,0.0,Health technology,Health Technology,america,1.0,2.7697873649584075
353,NASDAQ:OCC,OCC,Optical Cable Corporation,optical-cable-corporation,stock,['common'],91.79256402014357,5.37,100,1,false,0,USD,-9.8993288590604,65930,44185674.56879195,USD,,-0.3843,29.53795379537954,0.0,Electronic technology,Electronic Technology,america,,0.8679373947660466
354,AMEX:GRO,GRO,Brazil Potash Corp.,brazil-potash,stock,['common'],91.66666666666669,1.61,100,1,false,0,USD,-6.395348837209296,183049,61846121.400000006,USD,,,,0.0,Non-energy minerals,Non-Energy Minerals,america,,0.7092349442217862
355,NASDAQ:IDCC,IDCC,"InterDigital, Inc.",interdigital,stock,['common'],90.90322580645162,266.31,100,1,false,0,USD,0.7948223004428382,325293,6871425903.361419,USD,18.98038600792542,14.0308,41.03999758747901,0.79482230044283,Technology services,Technology Services,america,1.642857,0.8231741803698721
356,NASDAQ:ATLC,ATLC,Atlanticus Holdings Corporation,atlanticus,stock,['common'],90.83039435716576,59.52,100,1,false,0,USD,4.751847940865897,89282,900266730.5765575,USD,10.469288679378035,5.6852,34.97946295021249,0.0,Finance,Finance,america,1.166667,2.424072937765059
357,NASDAQ:AKRO,AKRO,"Akero Therapeutics, Inc.",akero-therapeutics,stock,['common'],90.75464243382065,48.28,100,1,false,0,USD,-4.320253666270313,1196196,3848764086.135553,USD,,-3.8011,-11.387545787545783,0.0,Health technology,Health Technology,america,1.0,0.9899557472908126
358,NASDAQ:DUOL,DUOL,"Duolingo, Inc.",duolingo,stock,['common'],90.41203108402749,340.59,100,1,false,0,USD,-8.03315871901496,2715982,15458573280.419455,USD,141.540954993143,2.4063,73.60219320395352,0.0,Technology services,Technology Services,america,1.461538,1.166499042163078
359,NYSE:COMP,COMP,"Compass, Inc.",compass,stock,['common'],90.3448275862069,8.28,100,1,false,0,USD,1.595092024539865,6701419,4437979194.30184,USD,,-0.1081,77.81654011902319,0.0,Technology services,Technology Services,america,1.5,0.7165275429181823
360,NYSE:DOCS,DOCS,"Doximity, Inc.",doximity,stock,['common'],89.08256880733943,61.83,100,1,false,0,USD,-7.134274556924002,2858724,11588005801.958694,USD,53.077517383466386,1.1649,46.47302904564316,0.0,Technology services,Technology Services,america,1.55,1.2964678836984602
361,NASDAQ:DOMO,DOMO,"Domo, Inc.",domo,stock,['common'],89.06455862977602,14.35,100,1,false,0,USD,-10.144020037570451,998072,577373233.0244207,USD,,-1.8953,9.833491912464314,0.0,Technology services,Technology Services,america,1.5,1.5099066482082046
362,NASDAQ:ASMB,ASMB,"Assembly Biosciences, Inc.",assembly-bio,stock,['common'],88.95116092874301,23.6,100,1,false,0,USD,-1.5435961618689924,227327,181065360.41718817,USD,,-5.5907,37.345063319511375,0.0,Health technology,Health Technology,america,1.0,2.441737692063952
363,NASDAQ:LZ,LZ,"LegalZoom.com, Inc.",legalzoom,stock,['common'],88.9267461669506,11.09,100,1,false,0,USD,1.0018214936247671,4352696,1998965478.3533697,USD,68.07857581338244,0.1629,50.83333333333333,0.0,Commercial services,Commercial Services,america,1.777778,1.3169388560644748
364,NASDAQ:VUZI,VUZI,Vuzix Corporation,vuzix,stock,['common'],88.67924528301886,2.0,100,1,false,0,USD,-3.1476997578692467,1146387,152484836.80387408,USD,,-1.0476,-34.49736808319425,0.0,Electronic technology,Electronic Technology,america,1.0,0.7735754585396236
365,NASDAQ:HOUR,HOUR,"Hour Loop, Inc.",hour-loop,stock,['common'],88.659793814433,1.83,100,1,false,0,USD,1.1049723756906087,8876,64343147.7,USD,261.42857142857144,0.007,,0.0,Retail trade,Retail Trade,america,,0.2923805163105242
366,NASDAQ:GILT,GILT,Gilat Satellite Networks Ltd.,gilat-satellite-networks,stock,['common'],88.42105263157893,8.95,100,1,false,0,USD,1.8202502844141086,698898,510740577.81569976,USD,22.819989801121874,0.3922,12.12121212121212,0.0,Electronic technology,Electronic Technology,america,1.0,0.8207094148403804
367,NASDAQ:SLNO,SLNO,"Soleno Therapeutics, Inc.",soleno-therapeutics,stock,['common'],88.35932352295191,85.76,100,1,false,0,USD,4.140862173649072,2023893,4557715809.224044,USD,,-4.1451,-70.27893028796781,0.0,Health technology,Health Technology,america,1.055556,1.7881399763536023
368,NASDAQ:CTRN,CTRN,"Citi Trends, Inc.",citi-trends,stock,['common'],88.27794561933534,31.16,100,1,false,0,USD,-1.2674271229404266,23229,258442630.58174908,USD,,-4.6632,-334.95942542673254,0.0,Retail trade,Retail Trade,america,1.0,0.4517028550093922
369,NASDAQ:LPLA,LPLA,LPL Financial Holdings Inc.,lpl-finl,stock,['common'],88.27144816376287,370.65,100,1,false,0,USD,0.21901362751460154,409230,29653521082.096848,USD,25.351043383695718,14.6207,14.094970541183805,0.324464633354964,Finance,Finance,america,1.375,0.3776400335532381
