,exchange,name,description,logoid,type,typespecs,relative_volume_10d_calc,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,recommendation_mark,sector.tr,sector,market
212,NYSE,TEN,Tsakos Energy Navigation Ltd,tsakos-energy-navigation,stock,['common'],1.9387745164645742,21.26,100,1,false,0,USD,4.83234714003945,418069,640512872.4457594,USD,4.736971101356922,4.4881,-8.978259106027409,7.39644970414201,1.333333,Transportation,Transportation,america
213,NASDAQ,FACT,FACT II Acquisition Corp.,fact-ii-acquisition,stock,['common'],1.9346011954916629,10.29,100,1,false,0,USD,-0.09708737864079188,112274,250267802.82,USD,83.11793214862682,0.1238,,0.0,,Finance,Finance,america
214,NASDAQ,CASS,"Cass Information Systems, Inc",cass-information-systems,stock,['common'],1.9268469723168078,41.92,100,1,false,0,USD,-1.0854176498348296,130604,554014996.9608307,USD,22.535211267605632,1.8602,-6.555482995931072,2.90231241151487,1.5,Commercial services,Commercial Services,america
215,NYSE,VHC,VirnetX Holding Corp,virnetx,stock,['common'],1.9161702067443078,12.93,100,1,false,0,USD,-2.4150943396226436,13541,55225088.79622642,USD,,-4.5355,18.69386730724414,0.0,,Technology services,Technology Services,america
216,NASDAQ,EJH,E-Home Household Service Holdings Limited,e-home-household-service-limited,stock,['common'],1.912118785071528,1.32,100,1,false,0,USD,3.1330572700992287,308450,5285093.741698571,USD,,-3524.4625,98.81212251227049,0.0,,Consumer services,Consumer Services,america
217,NASDAQ,FTCI,"FTC Solar, Inc.",ftc-solar,stock,['common'],1.9068645248942977,6.44,100,1,false,0,USD,11.805555555555566,195372,95793695.22916667,USD,,-3.6369,8.526371387610363,0.0,1.666667,Technology services,Technology Services,america
218,NASDAQ,HBCP,"Home Bancorp, Inc.",home-bancorp,stock,['common'],1.900997391437778,53.28,100,1,false,0,USD,0.05633802816901622,61944,416902727.5267605,USD,10.21354905494,5.2166,14.855016622999177,1.97183098591549,1.625,Finance,Finance,america
219,NASDAQ,SILO,"Silo Pharma, Inc.",silo-pharma,stock,['common'],1.8985765861940695,0.6674,10000,1,false,0,USD,2.5980015372790204,765092,6274313.069331283,USD,,-1.0236,13.474218089602703,0.0,,Health technology,Health Technology,america
220,NASDAQ,OESX,"Orion Energy Systems, Inc.",orion-energy-systems,stock,['common'],1.8870473244970232,0.5951,10000,1,false,0,USD,-1.0804521276595846,259556,20949132.38863032,USD,,-0.2819,-3.5635562086700907,0.0,1.0,Electronic technology,Electronic Technology,america
221,NASDAQ,IMA,"ImageneBio, Inc.",,stock,['common'],1.8866800451523895,14.08,100,1,false,0,USD,0.2849002849002915,12034,157437996.03418803,USD,,-7.645,55.32401049549735,0.0,1.5,Health technology,Health Technology,america
222,NASDAQ,LTRX,"Lantronix, Inc.",lantronix,stock,['common'],1.8862893096530373,3.44,100,1,false,0,USD,6.501547987616098,578338,133782726.7863777,USD,,-0.2167,-22.63723825693266,0.0,1.0,Electronic technology,Electronic Technology,america
223,NASDAQ,SFST,"Southern First Bancshares, Inc.",southern-first-bancshares,stock,['common'],1.8828464562156921,42.37,100,1,false,0,USD,0.9771210676835,43493,346616869.91158247,USD,15.721706864564007,2.695,58.38965618571847,0.0,1.5,Finance,Finance,america
224,AMEX,PZG,Paramount Gold Nevada Corp.,paramount-gold-nevada,stock,['common'],1.8817526683034722,0.8534,10000,1,false,0,USD,3.3297009323162707,1085499,60974705.65879647,USD,,-0.1347,-10.139002452984448,0.0,1.0,Non-energy minerals,Non-Energy Minerals,america
225,NASDAQ,MCTR,CTRL Group Limited,ctrl-limited,stock,['common'],1.8793657016157337,1.41,100,1,false,0,USD,-2.758620689655175,224363,21572999.999999996,USD,,-0.257,-1686.4197530864199,0.0,,Electronic technology,Electronic Technology,america
226,NASDAQ,CRIS,"Curis, Inc.",curis,stock,['common'],1.8783873798972894,1.56,100,1,false,0,USD,0.6451612903225812,113643,19498209.522580646,USD,,-4.8828,40.74415669522585,0.0,1.0,Health technology,Health Technology,america
227,NYSE,BLND,"Blend Labs, Inc.",blend,stock,['common'],1.8760072967917643,3.47,100,1,false,0,USD,16.442953020134237,7524400,899854743.4429531,USD,,-0.157,67.61551155115511,0.0,1.333333,Technology services,Technology Services,america
228,NASDAQ,PGAC,Pantages Capital Acquisition Corporation,shepherd-ave-capital-acquisition,stock,['common'],1.8718390890591334,10.24,100,1,false,0,USD,-0.09756097560975402,100079,112901120.0,USD,85.76214405360133,0.1194,,0.0,,Finance,Finance,america
229,NASDAQ,DNTH,"Dianthus Therapeutics, Inc.",magenta-therapeutics,stock,['common'],1.8714061636526478,23.65,100,1,false,0,USD,0.9820666097352555,628517,761254405.8027327,USD,,-3.2546,41.26966940955681,0.0,1.076923,Health technology,Health Technology,america
