,exchange,name,description,logoid,type,typespecs,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
415,NASDAQ,AVGO,Broadcom Inc.,broadcom,stock,['common'],302.35,-3.409999999999968,-1.115253793825212,38341,-0.595238095238093,294.91,-3.5485347985347873,20135637,1387100733360.3074,110.60152288488423,100,1,false,0,USD,USD
416,NASDAQ,IPA,ImmunoPrecise Antibodies Ltd.,immunoprecise-antibodies,stock,['common'],2.67,-0.03000000000000025,-1.1111111111111203,148973,-0.7407407407407414,2.57,-4.814814814814827,2309923,118616084.59259258,314.2927927322515,100,1,false,0,USD,USD
417,NYSE,KOS,Kosmos Energy Ltd.,kosmos-energy,stock,['common'],1.7306,-0.019400000000000084,-1.1085714285714334,6700,0.571428571428572,1.65,-5.71428571428572,6814737,789119046.2571428,-61.56601074799881,100,1,false,0,USD,USD
418,NASDAQ,PLBL,Polibeli Group Ltd,,stock,['common'],10.8,-0.11999999999999922,-1.0989010989010917,132,-1.0989010989010917,10.92,0.0,24046,128965200.0,,100,1,false,0,USD,USD
419,NASDAQ,PGNY,"Progyny, Inc.",progyny,stock,['common'],23.52,-0.26000000000000156,-1.093355761143825,5144,0.21026072329687617,22.74,-4.373423044575285,1435764,1955239982.5534058,4.464039531723588,100,1,false,0,USD,USD
420,NYSE,PSQH,"PSQ Holdings, Inc.",psq,stock,['common'],1.81,-0.020000000000000018,-1.0928961748633887,8731,-1.0928961748633887,2.16,18.032786885245905,5390477,99170367.3442623,9.484838575534654,100,1,false,0,USD,USD
421,NASDAQ,NBIS,Nebius Group N.V.,nebius-group-nv,stock,['common'],71.75,-0.7900000000000063,-1.089054314860775,81252,-0.26192445547285903,67.19,-7.375241246209,12234072,16012964782.877033,312.9725850213798,100,1,false,0,USD,USD
422,NYSE,NJR,NewJersey Resources Corporation,new-jersey-resources,stock,['common'],45.7365,-0.5035000000000025,-1.0888840830449882,170,-1.0888840830449882,46.78,1.1678200692041503,403978,4699115627.015139,8.362726205606325,100,1,false,0,USD,USD
423,NASDAQ,KINS,"Kingstone Companies, Inc",kingstone-companies,stock,['common'],13.75,-0.15000000000000036,-1.0791366906474844,629,-1.0791366906474844,13.89,-0.07194244604316392,211545,196412970.97338128,190.066934035696,100,1,false,0,USD,USD
424,NASDAQ,HFFG,HF Foods Group Inc.,hf-foods,stock,['common'],3.67,-0.040000000000000036,-1.078167115902966,100,-1.078167115902966,3.49,-5.9299191374663005,48041,191992338.12129384,-16.01988861988222,100,1,false,0,USD,USD
425,NYSE,JBI,"Janus International Group, Inc.",janus-international,stock,['common'],10.11,-0.11000000000000121,-1.0763209393346498,144,-1.0763209393346498,10.28,0.5870841487279719,963198,1427806799.7221134,-9.828492214006372,100,1,false,0,USD,USD
426,NASDAQ,QMCO,Quantum Corporation,quantum,stock,['common'],7.36,-0.08000000000000007,-1.0752688172043021,6931,-1.0752688172043021,6.83,-8.1989247311828,801289,44577921.90456988,72.8533612384181,100,1,false,0,USD,USD
427,NASDAQ,DASH,"DoorDash, Inc.",doordash,stock,['common'],250.62,-2.719999999999999,-1.073655956422199,2113,-0.13420699455277627,248.37,-1.9617904791979155,2567262,106102376300.47057,123.54020358384803,100,1,false,0,USD,USD
428,NYSE,CRGY,Crescent Energy Company,crescent-energy-company,stock,['common'],9.22,-0.09999999999999964,-1.072961373390554,715,-0.42918454935623307,9.22,-1.072961373390554,2120476,2347551821.497854,-2.7928652346171896,100,1,false,0,USD,USD
429,NYSE,FLUT,Flutter Entertainment plc,flutter-entertainment,stock,['common'],290.87,-3.1299999999999955,-1.0646258503401345,2536,0.45857142857143535,290.76,-1.1020408163265338,2013870,51202709111.9404,58.962605713037554,100,1,false,0,USD,USD
430,NYSE,HIMS,"Hims & Hers Health, Inc.",hims-and-hers-health,stock,['common'],44.62,-0.480000000000004,-1.064301552106439,225062,-0.2882483370288305,42.18,-6.474501108647454,22010122,9533505372.815521,235.3458595513502,100,1,false,0,USD,USD
431,NASDAQ,WTF,Waton Financial Limited,waton-financial-limited,stock,['common'],4.65,-0.04999999999999982,-1.0638297872340388,200,-1.2765957446808616,4.69,-0.21276595744680396,56564,223155935.87,,100,1,false,0,USD,USD
432,NYSE,RRC,Range Resources Corporation,range-resources,stock,['common'],32.77,-0.3499999999999943,-1.0567632850241375,3370,-0.6944444444444351,32.79,-0.9963768115941978,2117943,7810285952.182066,15.789841969420745,100,1,false,0,USD,USD
433,NASDAQ,HYMC,Hycroft Mining Holding Corporation,hycroft-mining,stock,['common'],3.75,-0.040000000000000036,-1.0554089709762544,170,-1.0554089709762544,3.63,-4.221635883905018,260742,142160228.4221636,152.94776803060776,100,1,false,0,USD,USD
434,NASDAQ,DRRX,DURECT Corporation,durect,stock,['common'],1.88,-0.020000000000000018,-1.0526315789473695,986,-1.0526315789473695,1.88,-1.0526315789473695,509604,58381872.25263158,27.904333776899747,100,1,false,0,USD,USD
435,NASDAQ,EGHT,8x8 Inc,8x8-new,stock,['common'],1.88,-0.020000000000000018,-1.0526315789473695,150,-1.0526315789473695,1.87,-1.5789473684210422,535890,255009747.53157902,2.92587795909519,100,1,false,0,USD,USD
436,NASDAQ,INO,"Inovio Pharmaceuticals, Inc.",inovio,stock,['common'],1.88,-0.020000000000000018,-1.0526315789473695,8026,0.0,1.94,2.105263157894739,1947891,103096763.46315789,-67.55117437670113,100,1,false,0,USD,USD
437,NYSE,EQT,EQT Corporation,eqt,stock,['common'],49.97,-0.5300000000000011,-1.0495049504950518,11429,0.01980198019801586,50.54,0.07920792079207752,6083766,31539841125.273266,73.67316927993389,100,1,false,0,USD,USD
438,NASDAQ,LIXT,"Lixte Biotechnology Holdings, Inc.",lixte-biotechnology,stock,['common'],3.78,-0.040000000000000036,-1.0471204188481684,260,0.0,3.48,-8.900523560209422,122397,15873541.727748692,190.45995372614448,100,1,false,0,USD,USD
439,NASDAQ,PSIX,"Power Solutions International, Inc.",power-solutions-international,stock,['common'],86.2,-0.9099999999999966,-1.04465618183905,937,-0.6428653426701897,79.94,-8.230972333830792,823494,1841005917.633337,589.0618138008616,100,1,false,0,USD,USD
440,NASDAQ,SOND,Sonder Holdings Inc.,sonder,stock,['common'],1.9,-0.020000000000000018,-1.0416666666666676,1000,-3.645833333333325,1.93,0.5208333333333338,9381,25685367.807291664,86.70065928136646,100,1,false,0,USD,USD
441,NASDAQ,FNKO,"Funko, Inc.",funko,stock,['common'],2.85,-0.029999999999999805,-1.0416666666666599,5996,0.34722222222223026,2.68,-6.944444444444435,1383191,148379310.1527778,-56.85665179668342,100,1,false,0,USD,USD
442,NASDAQ,KPRX,"Kiora Pharmaceuticals, Inc.",kiora-pharmaceuticals,stock,['common'],2.85,-0.029999999999999805,-1.0416666666666599,1202,-3.8194444444444406,2.67,-7.291666666666666,48350,9167420.895833332,-24.87777747487189,100,1,false,0,USD,USD
443,NASDAQ,SMX,SMX (Security Matters) Public Limited Company,smx-security-matters-public-limited-company,stock,['common'],4.79,-0.04999999999999982,-1.0330578512396658,3175,-0.41322314049585895,4.55,-5.991735537190084,91289,5823117.262396694,2157.294319964311,100,1,false,0,USD,USD
444,NYSE,LAW,"CS Disco, Inc.",cs-disco,stock,['common'],4.86,-0.04999999999999982,-1.0183299389002,1244,-0.4073319755600909,4.91,0.0,179591,303152464.0,-15.456306592366627,100,1,false,0,USD,USD
445,NASDAQ,ATYR,"aTyr Pharma, Inc.",atyr-pharma,stock,['common'],4.86,-0.04999999999999982,-1.0183299389002,34608,0.6109979633401272,4.66,-5.091649694501018,4743600,456617697.41344196,230.81301154171734,100,1,false,0,USD,USD
446,NASDAQ,NATH,"Nathan's Famous, Inc.",nathan-s-famous,stock,['common'],104.14,-1.0699999999999932,-1.0170135918638847,104,-1.0170135918638847,105.79,0.5512783955897848,19680,432629255.7608593,36.77762452053982,100,1,false,0,USD,USD
447,NASDAQ,PGEN,"Precigen, Inc.",precigen,stock,['common'],2.92,-0.03000000000000025,-1.0169491525423813,398455,-3.3898305084745792,3.22,9.152542372881356,16718287,959472754.3728814,51.87295375723986,100,1,false,0,USD,USD
448,NASDAQ,LEXX,Lexaria Bioscience Corp.,lexaria-bioscience,stock,['common'],0.828,-0.008500000000000063,-1.0161386730424462,1300,-1.8290496114763872,0.849,1.494321578003581,200197,16605742.734010756,-68.97847099751759,10000,1,false,0,USD,USD
449,NASDAQ,RGTI,"Rigetti Computing, Inc.",rigetti-computing-redeemable,stock,['common'],16.4612,-0.1687999999999974,-1.0150330727600565,206217,-0.7817197835237464,15.16,-8.839446782922424,37583736,4914343595.146122,3082.2560798032005,100,1,false,0,USD,USD
450,NASDAQ,LILA,Liberty Latin America Ltd.,liberty-latin-america,stock,['common'],7.81,-0.08000000000000007,-1.0139416983523457,4590,-1.0139416983523457,7.77,-1.5209125475285186,254815,1574325492.7756655,-14.526526351002579,100,1,false,0,USD,USD
451,NASDAQ,DYNX,Dynamix Corporation,dynamix,stock,['common'],10.8,-0.10999999999999943,-1.0082493125572818,7001,-0.6416131989000942,10.59,-2.9330889092575645,1015450,234391997.41154903,,100,1,false,0,USD,USD
452,NYSE,RGR,"Sturm, Ruger & Company, Inc.",sturm-ruger,stock,['common'],33.55,-0.3400000000000034,-1.003245795219839,300,-0.8557096488639692,34.16,0.7966951903216171,162686,552094975.3413986,-23.211238695661287,100,1,false,0,USD,USD
453,NASDAQ,EXE,Expand Energy Corporation,chesapeake-energy,stock,['common'],92.1,-0.9300000000000068,-0.9996775233795623,1377,-1.1071697301945622,93.05,0.021498441362996903,3122863,22159454829.450714,150.48693997088483,100,1,false,0,USD,USD
454,NASDAQ,ELUT,"Elutia, Inc.",aziyo-biologics,stock,['common'],2.0,-0.020000000000000018,-0.990099009900991,395,-0.990099009900991,2.02,0.0,28333,83053640.0,-22.14524455181303,100,1,false,0,USD,USD
455,NASDAQ,RCKT,"Rocket Pharmaceuticals, Inc.",rocket-pharmaceuticals,stock,['common'],3.0,-0.029999999999999805,-0.9900990099009837,10509,3.630363036303641,2.91,-3.9603960396039493,2052332,314000257.76237625,-80.8712786150026,100,1,false,0,USD,USD
456,NYSE,AB,AllianceBernstein Holding L.P.,alliancebernstein-holding,stock,['common'],40.01,-0.3999999999999986,-0.9898539965355075,200,-0.12373174956693185,39.83,-1.435288294976487,315441,4406683647.172235,16.980578059075448,100,1,false,0,USD,USD
457,NASDAQ,OS,"OneStream, Inc.",onestream,stock,['common'],20.02,-0.1999999999999993,-0.9891196834816979,2182,-0.8902077151335298,19.95,-1.3353115727002947,1970384,4844750347.188427,,100,1,false,0,USD,USD
458,NASDAQ,MGNI,"Magnite, Inc.",magnite,stock,['common'],24.08,-0.240000000000002,-0.986842105263166,3235,0.3289473684210456,21.84,-10.197368421052634,3220505,3110000831.4375,72.1017892282372,100,1,false,0,USD,USD
459,NASDAQ,LUCD,Lucid Diagnostics Inc.,lucid-diagnostics,stock,['common'],1.01,-0.010000000000000009,-0.980392156862746,8200,-1.9313725490196127,0.9937,-2.5784313725490184,763672,107794082.98205884,151.43763139091425,100,1,false,0,USD,USD
460,NYSE,RYAM,Rayonier Advanced Materials Inc.,rayonier-advanced-materials,stock,['common'],5.09,-0.04999999999999982,-0.9727626459143934,1000,-0.9727626459143934,4.95,-3.6964980544746986,680474,331654372.1789884,-40.59498478629598,100,1,false,0,USD,USD
461,NASDAQ,LPTX,"Leap Therapeutics, Inc.",leap-therapeutics,stock,['common'],0.2856,-0.002799999999999969,-0.9708737864077563,67819,-6.0332871012482565,0.2864,-0.6934812760055485,896365,11868279.950069347,-84.4543607310205,10000,1,false,0,USD,USD
462,NYSE,BBWI,"Bath & Body Works, Inc.",bath-and-body-works,stock,['common'],29.87,-0.28999999999999915,-0.9615384615384587,6625,-0.0663129973474787,29.82,-1.1273209549071614,4797937,6310263877.977453,-12.742289066773099,100,1,false,0,USD,USD
463,NASDAQ,CART,Maplebear Inc.,maplebear,stock,['common'],45.48,-0.44000000000000483,-0.9581881533101151,3175,-0.021777003484331696,46.5,1.2630662020905885,5855910,12249880157.11019,53.72586905852075,100,1,false,0,USD,USD
464,NASDAQ,BTOG,Bit Origin Limited,bit-origin-limited,stock,['common'],0.4476,-0.004300000000000026,-0.9515379508740929,332710,4.0053109094932395,0.41,-9.271962823633558,5867221,23866555.454746623,167.40644459164002,10000,1,false,0,USD,USD
465,NYSE,NGS,"Natural Gas Services Group, Inc.",natural-gas-services,stock,['common'],25.0,-0.23999999999999844,-0.9508716323296293,750,-0.9508716323296293,25.14,-0.3961965134706731,45781,315313784.5578447,24.69968912090883,100,1,false,0,USD,USD
466,NASDAQ,LPSN,"LivePerson, Inc.",liveperson,stock,['common'],1.0004,-0.009600000000000053,-0.9504950495049557,14906,0.0,1.04,2.970297029702973,2006559,100489951.60396038,-3.7779868826663265,100,1,false,0,USD,USD
467,NYSE,LC,LendingClub Corporation,lending-club,stock,['common'],15.79,-0.15000000000000036,-0.9410288582183209,5370,-0.18820577164365973,15.22,-4.5169385194479235,1946531,1746345043.8519447,51.54447194739714,100,1,false,0,USD,USD
468,NASDAQ,IPSC,"Century Therapeutics, Inc.",century-therapeutics,stock,['common'],0.569,-0.005400000000000071,-0.9401114206128257,8670,1.9846796657381556,0.55,-4.247910863509745,637317,47514004.961699165,-70.0992853766495,10000,1,false,0,USD,USD
469,NASDAQ,NNOX,NANO-X IMAGING LTD,nano-x,stock,['common'],4.22,-0.040000000000000036,-0.9389671361502356,27488,1.1737089201877893,4.02,-5.633802816901413,1848370,256323257.92957747,-28.47211576569598,100,1,false,0,USD,USD
470,NASDAQ,CHRS,"Coherus Oncology, Inc.",coherus-biosciences,stock,['common'],1.06,-0.010000000000000009,-0.9345794392523372,70202,-0.9065420560747703,1.07,0.0,1502804,124363187.0,-31.049618166777165,100,1,false,0,USD,USD
471,NASDAQ,RPD,"Rapid7, Inc.",rapid7,stock,['common'],21.26,-0.1999999999999993,-0.9319664492078251,300,-0.9319664492078251,21.14,-1.491146318732527,611618,1368729299.2674744,-44.80411382772264,100,1,false,0,USD,USD
472,NASDAQ,HBIO,"Harvard Bioscience, Inc.",harvard-bioscience,stock,['common'],0.5,-0.0047000000000000375,-0.9312462849217431,11000,0.09906875371506735,0.487,-3.5070338815137796,210919,21686694.747374672,-83.29465404958857,10000,1,false,0,USD,USD
