,exchange,name,description,logoid,type,typespecs,cash_n_short_term_invest_fq,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
11,NASDAQ,TSLA,"Tesla, Inc.",tesla,stock,['common'],37341000000.0,USD,410.04,100,1,false,0,USD,3.561145628125479,163822311,1322563105703.4026,237.45656706045867,1.7268,-51.50391776897801,0.0,1.8807997376478618,1.77,Consumer durables,Consumer Durables,america
12,NYSE,GM,General Motors Company,general-motors,stock,['common'],32282000000.0,USD,58.95,100,1,false,0,USD,0.7692307692307742,4773530,56124987478.92307,9.344979550426428,6.3082,-29.071937754390703,0.871794871794872,0.7154286651213145,1.583333,Consumer durables,Consumer Durables,america
13,NYSE,BA,Boeing Company (The),boeing,stock,['common'],22967000000.0,USD,215.75,100,1,false,0,USD,-0.08798740390849205,6896181,163141028821.55573,,-16.5217,-193.5677606211908,0.0,0.9971202113839366,1.277778,Electronic technology,Electronic Technology,america
14,NYSE,V,Visa Inc.,visa,stock,['common'],22915000000.0,USD,339.05,100,1,false,0,USD,-0.11195239077276477,4367547,653214008852.468,33.46956101124372,10.1301,10.047581801590416,0.695283269009811,0.9262560119041333,1.3,Finance,Finance,america
15,NYSE,BN,Brookfield Corporation,brookfield,stock,['common'],22903853638.249996,USD,69.42,100,1,false,0,USD,2.389380530973458,2250402,114493000504.76993,157.26002385404857,0.44143449999999995,-22.726337157888167,0.505814498933902,1.0300405493428726,1.272727,Finance,Finance,america
16,NASDAQ,INTC,Intel Corporation,intel,stock,['common'],21206000000.0,USD,24.77,100,1,false,0,USD,2.8654485049833944,83951530,115682382406.72218,,-4.7628,-2174.3902439024387,0.519102990033223,1.5339359708021971,2.056818,Electronic technology,Electronic Technology,america
17,NYSE,SYF,Synchrony Financial,synchrony,stock,['common'],19457000000.0,USD,76.28,100,1,false,0,USD,1.207376940427221,2661477,28380551417.43558,9.26886763794549,8.2297,14.264887605348282,1.45946663128566,0.980631738631436,1.44,Finance,Finance,america
18,NYSE,JNJ,Johnson & Johnson,johnson-and-johnson,stock,['common'],18880000000.0,USD,177.4,100,1,false,0,USD,-0.3706615747500823,4768547,427239309181.44904,18.973262032085564,9.35,35.14880823323648,2.85297090868247,0.6359398479515284,1.615385,Health technology,Health Technology,america
19,NYSE,KKR,KKR & Co. Inc.,kkr,stock,['common'],18056173000.0,USD,144.65,100,1,false,0,USD,0.9139109808846116,2327073,128875730570.09871,69.36984461922118,2.0852,-50.75222597482345,0.502302218501465,0.7647306006305428,1.204545,Finance,Finance,america
20,NASDAQ,BKNG,Booking Holdings Inc. Common Stock,booking,stock,['common'],17595000000.0,USD,5559.83,100,1,false,0,USD,1.8597297336909564,165157,180193447376.66486,38.669438524841006,143.7784,0.6681645464596085,0.672368054639523,0.8568492113067135,1.3875,Consumer services,Consumer Services,america
