,exchange,name,description,logoid,type,typespecs,relative_volume_10d_calc,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,recommendation_mark,sector.tr,sector,market
430,NYSE,LZM,Lifezone Metals Limited,lifezone-metals-limited,stock,['common'],1.8400263448962133,4.89,100,1,false,0,USD,6.073752711496732,205620,387755910.41648585,USD,,,,0.0,1.0,Non-energy minerals,Non-Energy Minerals,america
431,NYSE,RYAN,"Ryan Specialty Holdings, Inc.",ryan-specialty-group,stock,['common'],1.8399313876831334,51.71,100,1,false,0,USD,0.1743510267338307,2641517,13636056819.94847,USD,2248.2608695652175,0.023,-96.33991088478676,0.910499806276637,1.527778,Finance,Finance,america
432,NYSE,MPLX,MPLX LP,mplx-lp,stock,['common'],1.8372599593059518,51.22,100,1,false,0,USD,0.2740798747063441,2429240,52196555063.08457,USD,12.15529925482937,4.2138,2.07848837209302,7.4902114330462,1.53125,Industrial services,Industrial Services,america
433,NYSE,BKU,"BankUnited, Inc.",bankunited,stock,['common'],1.8366850528079226,38.28,100,1,false,0,USD,-2.644964394710069,1031450,2879145050.3652086,USD,11.238990017615972,3.406,51.458555674137315,3.05188199389624,1.818182,Finance,Finance,america
434,NASDAQ,ULBI,Ultralife Corporation,ultralife,stock,['common'],1.8343645697109283,6.83,100,1,false,0,USD,-0.2919708029197018,103378,113675880.72846717,USD,35.684430512016725,0.1914,-68.48864010536714,0.0,,Producer manufacturing,Producer Manufacturing,america
435,NASDAQ,GNLN,"Greenlane Holdings, Inc.",greenlane,stock,['common'],1.8293756948125268,3.39,100,1,false,0,USD,-10.079575596816973,177392,4700407.647214854,USD,,-4855.24,85.18541237956084,0.0,,Distribution services,Distribution Services,america
436,NASDAQ,MLAB,"Mesa Laboratories, Inc.",mesa-laboratories,stock,['common'],1.8270820824097975,66.29,100,1,false,0,USD,7.508919883230636,262297,364691376.37122935,USD,,-0.1361,99.70673791721434,1.03795004865391,1.666667,Health technology,Health Technology,america
437,NYSE,AAP,Advance Auto Parts Inc.,advance-auto-parts,stock,['common'],1.8239627808988212,64.17,100,1,false,0,USD,5.041741692584708,2322340,3849234071.857587,USD,,-6.3968,-55244.8275862069,1.63692912096906,2.086207,Retail trade,Retail Trade,america
438,NYSE,MSCI,MSCI Inc.,msci,stock,['common'],1.819580524741756,576.61,100,1,false,0,USD,-1.1384483497642497,1255962,44609567792.752495,USD,38.20127202862064,15.094,1.1282628504046746,1.20017145306472,1.404762,Technology services,Technology Services,america
439,NASDAQ,NCSM,"NCS Multistage Holdings, Inc.",ncs-multistage,stock,['common'],1.8183613756103385,47.34,100,1,false,0,USD,-1.8453244868339076,39587,120283800.22890319,USD,9.922032193158953,4.7712,-72.21248318317095,0.0,1.0,Industrial services,Industrial Services,america
440,NYSE,ACHR,Archer Aviation Inc.,archer-aviation,stock,['common'],1.8147695406523474,9.12,100,1,false,0,USD,4.22857142857142,38211929,5882639912.283428,USD,,-1.2779,-4.004232115243765,0.0,1.214286,Electronic technology,Electronic Technology,america
441,NASDAQ,SKYE,"Skye Bioscience, Inc.",skye-bioscience,stock,['common'],1.812477293369664,4.07,100,1,false,0,USD,-4.235294117647053,638572,126122871.31529412,USD,,-1.0687,72.64653186588176,0.0,1.0,Health technology,Health Technology,america
442,NYSE,MCB,Metropolitan Bank Holding Corp.,metropolitan-bank,stock,['common'],1.8118378466205791,78.99,100,1,false,0,USD,1.9883795997417586,152770,823185078.5089736,USD,12.7972911671311,6.1724,-0.4531892589307352,0.193673337637185,1.0,Finance,Finance,america
443,NYSE,JOBY,"Joby Aviation, Inc.",joby-aviation,stock,['common'],1.810030951210117,14.12,100,1,false,0,USD,0.8571428571428517,62457837,12086458869.762856,USD,,-1.058,-120.32486463973346,0.0,2.142857,Electronic technology,Electronic Technology,america
444,NASDAQ,ASRV,AmeriServ Financial Inc.,ameriserv-financial,stock,['common'],1.808754256695025,2.96,100,1,false,0,USD,3.1358885017421554,15244,48897031.0522648,USD,13.220187583742742,0.2239,,4.18118466898955,,Finance,Finance,america
