,exchange,name,description,logoid,type,typespecs,Perf.Y,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,sector.tr,sector,market,recommendation_mark
440,NASDAQ,BWMN,Bowman Consulting Group Ltd.,bowman-consulting-ltd,stock,['common'],81.82608695652173,41.82,100,1,false,0,USD,2.625766871165645,112007,721425789.7825768,USD,67.49515816655907,0.6196,,0.0,0.9878833100489677,Industrial services,Industrial Services,america,1.071429
441,NYSE,WRBY,Warby Parker Inc.,warby-parker,stock,['common'],81.66781529979325,26.36,100,1,false,0,USD,-1.4579439252336468,1408509,3214825698.350654,USD,,-0.0768,80.15503875968993,0.0,0.9805321237605328,Retail trade,Retail Trade,america,1.5
442,NYSE,BROS,Dutch Bros Inc.,dutch-bros,stock,['common'],81.57894736842104,62.1,100,1,false,0,USD,-3.7955073586367094,3569228,10216585756.568552,USD,131.87513272456997,0.4709,86.42121931908156,0.0,1.0075566722187426,Consumer services,Consumer Services,america,1.157895
443,NASDAQ,MYRG,"MYR Group, Inc.",myr-group,stock,['common'],81.56272850726,173.81,100,1,false,0,USD,-1.0306343241088727,174260,2698023671.5636034,USD,36.29434734490175,4.7889,64.04836941627843,0.0,1.1083429744628264,Industrial services,Industrial Services,america,1.416667
444,NYSE,KFS,"Kingsway Financial Services, Inc.",kingsway-financial-services,stock,['common'],81.21827411167513,14.28,100,1,false,0,USD,-0.4184100418410076,37596,412312370.083682,USD,,-0.4217,-115.04334523202448,0.0,0.681673541543901,Finance,Finance,america,
445,NASDAQ,GCT,GigaCloud Technology Inc,gigacloud-technology,stock,['common'],80.93858632676708,31.23,100,1,false,0,USD,4.658176943699734,1576956,1163602809.702748,USD,9.40096327513546,3.322,19.616880311104705,0.0,1.376544957318496,Distribution services,Distribution Services,america,1.25
446,NASDAQ,INKT,"MiNK Therapeutics, Inc.",mink-therapeutics,stock,['common'],80.8618504435995,14.27,100,1,false,0,USD,-0.9027777777777832,28793,64542163.53333334,USD,,-2.8417,41.89821914167127,0.0,0.5690417418491633,Health technology,Health Technology,america,1.0
447,NASDAQ,MDGL,"Madrigal Pharmaceuticals, Inc.",madrigal-pharmaceuticals-inc,stock,['common'],80.86010538840729,425.6,100,1,false,0,USD,-1.5316274119661293,265385,9486203921.12165,USD,,-12.8474,49.61547059261844,0.0,0.8004218890059127,Health technology,Health Technology,america,1.15625
448,NASDAQ,TLSA,Tiziana Life Sciences Ltd,tiziana-life-sciences,stock,['common'],80.85106382978724,1.7,100,1,false,0,USD,0.5917159763313614,845592,189486453.19526628,USD,,-0.1112,35.57358053302434,0.0,2.3764346285998856,Health technology,Health Technology,america,1.0
449,NYSE,UNFI,"United Natural Foods, Inc.",united-natural-foods,stock,['common'],80.64516129032258,28.0,100,1,false,0,USD,-4.0438656614119255,748368,1695835040.1644964,USD,,-1.1397,53.11612982845859,0.0,0.9283516117091432,Distribution services,Distribution Services,america,1.772727
450,NASDAQ,ACMR,"ACM Research, Inc.",acm-research,stock,['common'],80.5690072639225,29.83,100,1,false,0,USD,-0.10046885465506074,945178,1914518195.0408573,USD,18.09853173158597,1.6482,31.100859051861278,0.0,0.7059568324088037,Producer manufacturing,Producer Manufacturing,america,1.125
451,AMEX,PMI,"Picard Medical, Inc.",,stock,['common'],80.52256532066507,7.6,100,1,false,0,USD,6.2937062937062835,6270243,560128968.0,USD,,-0.4164,78.69749833734076,0.0,2.0345710519794586,Health technology,Health Technology,america,
452,NASDAQ,PSKY,Paramount Skydance Corporation,viacomcbs,stock,['common'],80.38834951456307,18.58,100,1,false,0,USD,-1.117615753060143,11157411,19781259654.845127,USD,,-0.0253,99.70087491132655,1.06439595529537,0.8533592645462892,Consumer services,Consumer Services,america,2.307692
453,NASDAQ,ODD,ODDITY Tech Ltd.,oddity-tech-ltd,stock,['common'],79.8587570621469,63.67,100,1,false,0,USD,1.3530722699777165,382012,3554587088.6895895,USD,35.53013392857143,1.792,26.419753086419757,0.0,0.8957283074080501,Technology services,Technology Services,america,1.409091
454,NASDAQ,TSLA,"Tesla, Inc.",tesla,stock,['common'],79.8421052631579,410.04,100,1,false,0,USD,3.561145628125479,163822311,1322563105703.4026,USD,237.45656706045867,1.7268,-51.50391776897801,0.0,1.8807997376478618,Consumer durables,Consumer Durables,america,1.77
455,NYSE,PARR,"Par Pacific Holdings, Inc. Common Stock",par-pacific-common-stock,stock,['common'],79.80613893376413,33.39,100,1,false,0,USD,1.73674588665448,1451626,1696702343.6462522,USD,,-0.2707,-103.46044204686362,0.0,0.9430406135552969,Energy minerals,Energy Minerals,america,1.5625
456,NYSE,PSTG,"Pure Storage, Inc.",pure-storage,stock,['common'],79.73896830329397,86.76,100,1,false,0,USD,5.419198055893084,4712517,28512512185.560146,USD,213.06483300589392,0.4072,0.3944773175542382,0.0,1.1986455671894056,Electronic technology,Electronic Technology,america,1.357143
457,NASDAQ,MIRM,"Mirum Pharmaceuticals, Inc.",mirum-pharmaceuticals,stock,['common'],79.68031000242189,74.19,100,1,false,0,USD,-0.16148566814695806,436332,3727130983.436819,USD,,-1.2107,48.342364637112254,0.0,0.7264494792523396,Health technology,Health Technology,america,1.05
458,NYSE,IDT,IDT Corporation,idt-corporation,stock,['common'],79.27684835402049,66.44,100,1,false,0,USD,0.15073861923423923,238888,1676276555.0087428,USD,17.534044125409057,3.7892,170.0399087799316,0.331624962315345,1.8514976260267455,Communications,Communications,america,1.0
459,NASDAQ,SNEX,StoneX Group Inc.,stonex,stock,['common'],79.17026020651026,94.59,100,1,false,0,USD,-2.0756767948651538,408899,4643261159.608986,USD,16.120730792828414,5.8676,22.07635493602415,0.0,0.7720006079354456,Finance,Finance,america,1.0
460,NASDAQ,MU,"Micron Technology, Inc.",micron-technology,stock,['common'],79.10091951413328,157.77,100,1,false,0,USD,0.34344590726961804,20101393,176564365711.49747,USD,28.476797285345558,5.5403,,0.292565032118553,0.8293585537682306,Electronic technology,Electronic Technology,america,1.297619
461,NASDAQ,POWL,"Powell Industries, Inc.",powell-industries,stock,['common'],79.06094379890918,302.04,100,1,false,0,USD,4.991657397107902,188037,3645184206.8004727,USD,20.975873994749783,14.3994,34.73879235325492,0.371072024471635,0.9292243343640093,Producer manufacturing,Producer Manufacturing,america,1.333333
462,NASDAQ,LYFT,"Lyft, Inc.",lyft,stock,['common'],78.82764654418199,20.44,100,1,false,0,USD,9.774436090225565,25441120,8307664995.488722,USD,93.37597076290544,0.2189,,0.0,1.0496347924753162,Transportation,Transportation,america,1.765957
463,NYSE,STEM,"Stem, Inc.",stem,stock,['common'],78.7900188323917,15.19,100,1,false,0,USD,2.635135135135127,186554,127408528.71486485,USD,,-29.3576,65.97608859920356,0.0,1.1844683371830633,Producer manufacturing,Producer Manufacturing,america,2.0
464,NASDAQ,VRAR,"The Glimpse Group, Inc.",the-glimpse,stock,['common'],78.78426698450538,1.5,100,1,false,0,USD,-3.2258064516129057,85276,31583257.741935484,USD,,-0.3463,76.15998898526779,0.0,0.649874903882133,Technology services,Technology Services,america,1.0
465,NASDAQ,SANM,Sanmina Corporation,sanmina,stock,['common'],78.58426966292134,119.205,100,1,false,0,USD,1.8584978210715177,520288,6351772859.703537,USD,25.519138551121767,4.6712,20.999870483098036,0.0,0.7641068570001909,Electronic technology,Electronic Technology,america,1.7
466,NASDAQ,TARA,"Protara Therapeutics, Inc.",protara-therapeutics,stock,['common'],78.53107344632768,3.16,100,1,false,0,USD,0.6369426751592362,119234,121918692.29299365,USD,,-1.6321,48.800075289393604,0.0,0.836841990751041,Health technology,Health Technology,america,1.0
467,NASDAQ,TVTX,"Travere Therapeutics, Inc.",travere-therapeutics,stock,['common'],78.51047323506594,23.01,100,1,false,0,USD,-1.9599488708990087,2223158,2051080780.1312318,USD,,-2.0398,57.83794956593634,0.0,0.5844899895916645,Health technology,Health Technology,america,1.125
468,NASDAQ,APPS,"Digital Turbine, Inc.",digital-turbine,stock,['common'],78.36879432624114,5.03,100,1,false,0,USD,8.874458874458877,4844017,545127772.0649351,USD,,-0.7754,82.00427033048645,0.0,1.623979957931557,Technology services,Technology Services,america,1.666667
469,NYSE,OWLT,"Owlet, Inc.",owlet,stock,['common'],78.09506872284749,7.01,100,1,false,0,USD,0.86330935251798,58644,119481663.59136689,USD,,-3.418,-30.757459831675604,0.0,1.0225061548440193,Consumer durables,Consumer Durables,america,1.0
470,NYSE,CIA,"Citizens, Inc.",citizens,stock,['common'],78.03278688524591,5.43,100,1,false,0,USD,-0.36697247706422864,76771,272832343.65688074,USD,24.481514878268708,0.2218,-49.34916647636447,0.0,0.5532498773094116,Finance,Finance,america,
471,NYSE,RL,Ralph Lauren Corporation,ralph-lauren,stock,['common'],77.99887260428409,315.77,100,1,false,0,USD,0.199911150599732,571616,19133455159.080856,USD,25.206146477748952,12.5275,20.78657102086466,1.0749190835819,0.9602511500516734,Consumer non-durables,Consumer Non-Durables,america,1.368421
472,NASDAQ,PTCT,"PTC Therapeutics, Inc.",ptc-therapeutics,stock,['common'],77.70412774932208,58.98,100,1,false,0,USD,-3.4539204452447314,1300823,4685258859.94729,USD,8.457005204972685,6.9741,,0.0,0.874939532846511,Health technology,Health Technology,america,1.441176
473,NASDAQ,GDC,GD Culture Group Limited,gd-culture-limited,stock,['common'],77.55474452554743,9.73,100,1,false,0,USD,20.57001239157373,595936,163419557.8934325,USD,,-0.7672,81.26175414600787,0.0,3.0686051074075635,Technology services,Technology Services,america,
474,NASDAQ,CVAC,CureVac N.V.,curevac,stock,['common'],77.48344370860929,5.36,100,1,false,0,USD,0.3745318352060012,365200,1206925946.0224721,USD,5.9456461453133675,0.9015,,0.0,0.7398541522997472,Health technology,Health Technology,america,1.857143
475,NASDAQ,KE,"Kimball Electronics, Inc.",kimball-electronics,stock,['common'],77.42484401588203,31.28,100,1,false,0,USD,2.255639097744365,284563,757555225.0225565,USD,46.30643967431532,0.6755,-16.656384947563232,0.0,1.0947893026024056,Electronic technology,Electronic Technology,america,1.25
476,NYSE,HL,Hecla Mining Company,hecla-mining,stock,['common'],77.37556561085972,11.76,100,1,false,0,USD,4.906333630686877,28823979,7879007663.678857,USD,75.14376996805112,0.1565,,0.223015165031222,0.9552957583438818,Non-energy minerals,Non-Energy Minerals,america,1.555556
477,NASDAQ,ALTS,ALT5 Sigma Corporation,janone,stock,['common'],77.37556561085972,3.92,100,1,false,0,USD,-6.220095693779899,7843712,476708730.7751196,USD,,-0.9904,68.96173493371775,0.0,0.4420884789839996,Industrial services,Industrial Services,america,1.0
478,NASDAQ,PEGA,Pegasystems Inc.,pegasystems,stock,['common'],77.17618905174992,59.23,100,1,false,0,USD,1.9975891165834279,1470451,10133108221.89874,USD,51.23259233630309,1.1561,59.089032613182866,0.129154468744619,1.2348858954283428,Technology services,Technology Services,america,1.333333
479,NYSE,TKO,"TKO Group Holdings, Inc.",tko,stock,['common'],77.04761904761905,204.49,100,1,false,0,USD,1.0126457221892962,2302446,40549447610.17206,USD,94.14825046040515,2.172,,0.375419877494566,2.9500667864658907,Consumer services,Consumer Services,america,1.309524
480,NASDAQ,INBX,"Inhibrx Biosciences, Inc.",inhibrx-biosciences,stock,['common'],76.98567708333334,27.185,100,1,false,0,USD,-1.2172965116279102,80615,393786181.8179506,USD,,-10.9892,,0.0,0.8238310622581851,Health technology,Health Technology,america,2.0
481,NASDAQ,CECO,CECO Environmental Corp.,ceco-environmental,stock,['common'],76.87343133739691,49.33,100,1,false,0,USD,2.493247454809881,434391,1742735880.2034073,USD,34.46035626964722,1.4315,288.7832699619771,0.0,0.7803340955400935,Producer manufacturing,Producer Manufacturing,america,1.0
482,NASDAQ,SENEA,Seneca Foods Corp.,seneca-foods,stock,['common'],76.8529170090386,107.615,100,1,false,0,USD,-1.6765646413887694,49197,739480462.4650068,USD,17.260100402572615,6.2349,-13.685886343185436,0.0,0.8470689111918057,Consumer non-durables,Consumer Non-Durables,america,
483,NASDAQ,NFLX,"Netflix, Inc.",netflix,stock,['common'],76.80034117145337,1202.26,100,1,false,0,USD,1.162868971088144,2909267,510871904998.89264,USD,51.23390763697419,23.4661,46.643877991013696,0.0,0.9798655932358054,Technology services,Technology Services,america,1.435185
484,NYSE,QS,QuantumScape Corporation,quantumscape,stock,['common'],76.79180887372011,10.36,100,1,false,0,USD,4.120603015075379,41060196,5863989268.36181,USD,,-0.866,9.20528412665129,0.0,1.316143710924165,Producer manufacturing,Producer Manufacturing,america,2.25
485,NYSE,LYV,"Live Nation Entertainment, Inc.",live-nation,stock,['common'],76.76374077112388,172.38,100,1,false,0,USD,-0.7770678639267797,4176493,39983557902.626495,USD,74.8729531338227,2.3023,120.10516252390056,0.0,2.171119544231001,Consumer services,Consumer Services,america,1.3125
486,NASDAQ,ESEA,Euroseas Ltd.,euroseas,stock,['common'],76.76077847054842,63.625,100,1,false,0,USD,-0.5315406863128327,39580,445795677.976237,USD,3.736492835330045,17.028,0.6638803005491798,3.90838739935902,1.0314651600360671,Transportation,Transportation,america,1.0
487,NYSE,BWXT,"BWX Technologies, Inc.",bwx-technologies,stock,['common'],76.70316301703164,174.3,100,1,false,0,USD,3.5466048832650143,1181041,15930801021.710924,USD,54.380381879445906,3.2052,10.057342993510282,0.588130458028872,1.262500566555522,Electronic technology,Electronic Technology,america,1.533333
488,NASDAQ,TBPH,"Theravance Biopharma, Inc.",theravance-biopharma,stock,['common'],76.68711656441718,14.4,100,1,false,0,USD,0.6993006993006968,447545,725202694.8251748,USD,61.56477126977341,0.2339,,0.0,0.7411246209466629,Health technology,Health Technology,america,1.333333
489,NASDAQ,ALNY,"Alnylam Pharmaceuticals, Inc.",alnylam-pharmaceuticals,stock,['common'],76.68199233716476,461.14,100,1,false,0,USD,-1.0195539719676319,910067,60445776576.872574,USD,,-2.467,-310.0049858733588,0.0,0.7420717509353493,Health technology,Health Technology,america,1.34375
490,NASDAQ,FROG,JFrog Ltd.,jfrog,stock,['common'],76.6010733452594,49.36,100,1,false,0,USD,-1.1613936724068847,1446286,5762373504.486984,USD,,-0.7655,-69.32094669320946,0.0,1.1341446640890236,Technology services,Technology Services,america,1.25
491,NASDAQ,SKIN,The Beauty Health Company,the-beauty-health,stock,['common'],76.51006711409396,2.63,100,1,false,0,USD,3.9525691699604777,2021975,333550802.0,USD,,-0.2815,65.89945487583283,0.0,1.7482680735066758,Health technology,Health Technology,america,2.25
492,NASDAQ,GRAB,Grab Holdings Limited,grab,stock,['common'],76.43678160919539,6.14,100,1,false,0,USD,2.3333333333333277,110348926,25026640000.0,USD,231.69811320754715,0.0265,,0.0,2.3306696571846626,Transportation,Transportation,america,1.232143
493,NASDAQ,CSBR,"Champions Oncology, Inc.",champions-oncology,stock,['common'],76.22080679405522,8.3,100,1,false,0,USD,21.52269399707175,209746,114443890.13177161,USD,25.54632194521391,0.3249,,0.0,10.521178193783985,Health technology,Health Technology,america,1.0
494,NASDAQ,TIGO,Millicom International Cellular S.A.,millicom,stock,['common'],76.22041420118343,47.65,100,1,false,0,USD,0.2524721228697611,1079646,7959455475.67957,USD,8.443940387375733,5.6431,812.53234152652,5.25983589312013,0.8702910482013972,Communications,Communications,america,1.5
495,NASDAQ,HTCR,"Heartcore Enterprises, Inc.",heartcore-enterprises,stock,['common'],76.18270799347474,1.08,100,1,false,0,USD,12.793733681462147,426707,25175631.6,USD,,-0.0128,96.8395061728395,2.088772845953,0.656200640627088,Technology services,Technology Services,america,
496,NASDAQ,GSAT,"Globalstar, Inc.",globalstar,stock,['common'],76.10169491525426,31.17,100,1,false,0,USD,4.108216432865733,1042115,3948389523.8026056,USD,,-0.3901,-11.61659513590845,0.0,0.5927956428298671,Communications,Communications,america,1.0
497,NYSE,TWLO,Twilio Inc.,twilio,stock,['common'],76.09978088656668,104.48,100,1,false,0,USD,2.1010456366656953,3389315,16030743756.27558,USD,857.799671592775,0.1218,,0.0,1.4681345434766326,Technology services,Technology Services,america,1.390625
498,NYSE,GTLS,"Chart Industries, Inc.",chart-industries,stock,['common'],75.91125198098258,199.8,100,1,false,0,USD,0.30120481927711984,1126844,8980092354.30723,USD,37.03978347113567,5.3942,152.4901703800786,0.0,0.8972530858790874,Producer manufacturing,Producer Manufacturing,america,1.9375
499,NYSE,MNTN,"MNTN, Inc.",mntn,stock,['common'],75.81930912311783,19.85,100,1,false,0,USD,0.5063291139240579,560890,1441349426.1772153,USD,,-0.755,-17.03611843125097,0.0,0.8748966023488951,Technology services,Technology Services,america,1.277778
