,exchange,name,description,logoid,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,sector.tr,sector,market,recommendation_mark
187,NASDAQ,GBDC,"Golub Capital BDC, Inc.",golub-capital-bdc,stock,['common'],3745252295.4512196,USD,14.06,100,1,false,0,USD,-4.74254742547425,2361277,9.936395759717314,1.415,-13.72477287970245,11.2466124661247,2.2596263527459133,Finance,Finance,america,1.4
188,NASDAQ,OCC,Optical Cable Corporation,optical-cable-corporation,stock,['common'],82761244.65474977,USD,9.33,100,1,false,0,USD,-4.698672114402442,186947,,-0.1472,80.61627600737424,0.0,1.3422425107481641,Electronic technology,Electronic Technology,america,
189,NASDAQ,GIBO,GIBO Holdings Limited,gibo-limited,stock,['common'],2998567.17,USD,2.86,100,1,false,0,USD,-4.666666666666671,125244,,,,0.0,0.18549255780054677,Finance,Finance,america,
190,NYSE,CULP,"Culp, Inc.",culp,stock,['common'],56723872.881355934,USD,4.5,100,1,false,0,USD,-4.661016949152538,22743,,-0.963,32.3118015041822,0.0,1.0488088320743754,Process industries,Process Industries,america,
191,NYSE,SOC,Sable Offshore Corp.,sable-offshore,stock,['common'],2190154520.0498266,USD,22.01,100,1,false,0,USD,-4.636048526863071,5664900,,-6.9933,34.185041926649546,0.0,0.9360535424807432,Energy minerals,Energy Minerals,america,1.0
192,NASDAQ,AIMD,"Ainos, Inc.",ainos,stock,['common'],16156875.570224717,USD,3.395,100,1,false,0,USD,-4.6348314606741585,45704,,-5.175,66.22327232853824,0.0,0.5801987990809035,Health technology,Health Technology,america,
193,NASDAQ,KLRS,"Kalaris Therapeutics, Inc.",kalaris-therapeutics,stock,['common'],62096746.83033419,USD,3.71,100,1,false,0,USD,-4.627249357326482,166559,,-7.5836,73.18178924810275,0.0,0.1307394602647694,Health technology,Health Technology,america,1.25
194,NASDAQ,CORT,Corcept Therapeutics Incorporated,corcept-therapeutics,stock,['common'],7326496453.596129,USD,69.53,100,1,false,0,USD,-4.583504871689314,701713,61.87594553706506,1.1237,-0.3281887528827423,0.0,1.058669287768802,Health technology,Health Technology,america,1.0
195,NASDAQ,DAVE,Dave Inc.,dave,stock,['common'],2955275711.088702,USD,218.93,100,1,false,0,USD,-4.572399965129448,417900,57.823147218847396,3.7862,82.39714808748434,0.0,1.0736907986317186,Finance,Finance,america,1.0
196,NASDAQ,SLNO,"Soleno Therapeutics, Inc.",soleno-therapeutics,stock,['common'],2719430009.7741513,USD,51.17,100,1,false,0,USD,-4.569190600522186,2282263,,-4.1451,-70.27893028796781,0.0,1.095534636338095,Health technology,Health Technology,america,1.045455
197,NASDAQ,VRDN,"Viridian Therapeutics, Inc.",viridian-therapeutics,stock,['common'],1470739326.744568,USD,18.01,100,1,false,0,USD,-4.55749867514573,842415,,-4.2652,-0.3623699938820774,0.0,0.9589375106930897,Health technology,Health Technology,america,1.0625
198,NYSE,SRFM,Surf Air Mobility Inc.,surf-air-mobility,stock,['common'],179441223.46924832,USD,4.19,100,1,false,0,USD,-4.555808656036431,1741122,,-3.2995,85.63142057108517,0.0,1.1413556821469146,Transportation,Transportation,america,1.5
199,NASDAQ,PLTK,Playtika Holding Corp.,playtika,stock,['common'],1345353140.6666667,USD,3.58,100,1,false,0,USD,-4.533333333333331,2033749,15.531453362255965,0.2305,-60.27231988969321,10.6666666666667,0.932036869219822,Technology services,Technology Services,america,1.545455
200,AMEX,DIT,AMCON Distributing Company,amcon-distributing-company,stock,['common'],74234581.3732896,USD,115.01,100,1,false,0,USD,-4.530980738517319,145,55.2959276888312,2.0799,-79.15514131088393,0.597667106062669,0.330371383002962,Distribution services,Distribution Services,america,
201,NASDAQ,SGBX,Safe & Green Holdings Corp.,,stock,['common'],4053351.381548976,USD,8.39,100,1,false,0,USD,-4.441913439635522,34346,,-350.6413,81.11021569689788,0.0,0.4706933061625328,Producer manufacturing,Producer Manufacturing,america,
202,NASDAQ,ARCC,Ares Capital Corporation,ares-capital,stock,['common'],15031379453.586098,USD,21.31,100,1,false,0,USD,-4.439461883408081,9005641,10.438914470461448,2.0414,-28.241001124859398,8.60986547085202,2.7198433650859366,Finance,Finance,america,1.142857
203,NASDAQ,UPB,"Upstream Bio, Inc.",upstream-bio,stock,['common'],905139274.1792828,USD,16.79,100,1,false,0,USD,-4.439385315879346,374000,,-2.0505,,0.0,0.5602335724611945,Health technology,Health Technology,america,1.0
204,NYSE,EVH,"Evolent Health, Inc",evolent-health,stock,['common'],1012925221.4456762,USD,8.62,100,1,false,0,USD,-4.4345898004434625,3769768,,-1.6055,-71.39959432048681,0.0,2.0659593453366565,Commercial services,Commercial Services,america,1.071429
205,NASDAQ,ANDE,"The Andersons, Inc.",the-andersons,stock,['common'],1315392050.5182703,USD,38.45,100,1,false,0,USD,-4.424558786974879,581105,16.37912673056443,2.3475,-21.327792486343377,1.92642306736266,2.3801517287592433,Commercial services,Commercial Services,america,1.333333
206,NASDAQ,DSP,Viant Technology Inc.,viant-technology,stock,['common'],585445514.8304213,USD,9.3,100,1,false,0,USD,-4.4193216855087325,398147,276.78571428571433,0.0336,,0.0,2.1146110286705495,Technology services,Technology Services,america,1.0
207,NASDAQ,XGN,Exagen Inc.,exagen,stock,['common'],204853894.5174538,USD,9.31,100,1,false,0,USD,-4.4147843942505105,169037,,-0.8922,7.916193621632779,0.0,1.0278811007960382,Health services,Health Services,america,1.0
208,NASDAQ,CNVS,Cineverse Corp.,cinedigm,stock,['common'],61994609.33823529,USD,3.25,100,1,false,0,USD,-4.411764705882351,230629,24.25373134328358,0.134,,0.0,0.43274877063953016,Consumer services,Consumer Services,america,1.0
209,NASDAQ,AMST,Amesite Inc.,amesite,stock,['common'],15867313.92837466,USD,3.47,100,1,false,0,USD,-4.407713498622582,269910,,-1.3652,16.776396000975378,0.0,0.0636774885604174,Technology services,Technology Services,america,
210,NASDAQ,HURA,"TuHURA Biosciences, Inc.",kintara-therapeutics,stock,['common'],119612149.316,USD,2.39,100,1,false,0,USD,-4.399999999999995,346935,,-3.5086,98.34680369954856,0.0,1.4548029232340751,Health technology,Health Technology,america,1.0
211,NASDAQ,AIRS,"AirSculpt Technologies, Inc.",airsculpt-technologies,stock,['common'],370249455.01290315,USD,5.93,100,1,false,0,USD,-4.354838709677427,650994,,-0.2499,-303.7156704361874,0.0,1.6178639674515574,Health technology,Health Technology,america,1.75
212,NYSE,MKC,"McCormick & Company, Incorporated",mccormick,stock,['common'],17696582773.46773,USD,65.95,100,1,false,0,USD,-4.35097897026831,3203058,22.901691148383513,2.8797,5.025712097450687,2.5670775924583,1.4885716435443423,Consumer non-durables,Consumer Non-Durables,america,1.625
213,NYSE,TGE,The Generation Essentials Group,the-generation-essentials,stock,['common'],77314174.0,USD,2.65,100,1,false,0,USD,-4.332129963898921,67395,,,,0.0,1.3703518446222915,Finance,Finance,america,
214,NASDAQ,RARE,Ultragenyx Pharmaceutical Inc.,ultragenyx-pharmaceutical,stock,['common'],2794777599.8020453,USD,29.0,100,1,false,0,USD,-4.32200593863411,1994104,,-5.5287,24.175055544888504,0.0,1.33534772375601,Health technology,Health Technology,america,1.095238
215,AMEX,ROLR,"High Roller Technologies, Inc.",high-roller-technologies,stock,['common'],26294739.400000002,USD,3.1,100,1,false,0,USD,-4.320987654320991,7343,,-0.7699,-20.466280707244564,0.0,0.4247160076810957,Technology services,Technology Services,america,1.0
216,NASDAQ,USAU,U.S. Gold Corp.,us-gold,stock,['common'],212354098.4108723,USD,15.14,100,1,false,0,USD,-4.29835651074589,405876,,-1.7521,-137.6695604991861,0.0,1.204060763720474,Non-energy minerals,Non-Energy Minerals,america,1.0
217,NASDAQ,FRPT,"Freshpet, Inc.",freshpet,stock,['common'],2559479916.3442173,USD,52.47,100,1,false,0,USD,-4.286756658153961,1585935,79.33172059268219,0.6614,33.75126390293225,0.0,0.9457415496079663,Consumer non-durables,Consumer Non-Durables,america,1.342105
218,NASDAQ,RCAT,"Red Cat Holdings, Inc.",red-cat,stock,['common'],1049519986.1000909,USD,10.52,100,1,false,0,USD,-4.276615104640588,10740979,,,,0.0,1.4914872514805029,Technology services,Technology Services,america,1.0
219,NASDAQ,FGNX,FG Nexus Inc.,fg-financial-800-cumulative-series-a-preferred-stock,stock,['common'],9273306.288065843,USD,6.98,100,1,false,0,USD,-4.25240054869684,371019,1.835682726698927,3.8024,,0.0,2.2360510106915132,Finance,Finance,america,
220,NASDAQ,SKYE,"Skye Bioscience, Inc.",skye-bioscience,stock,['common'],126122871.31529412,USD,4.07,100,1,false,0,USD,-4.235294117647053,638572,,-1.0687,72.64653186588176,0.0,1.812477293369664,Health technology,Health Technology,america,1.0
221,NYSE,HUN,Huntsman Corporation,huntsman,stock,['common'],1813972079.163303,USD,10.44,100,1,false,0,USD,-4.22018348623854,4765645,,-1.799,-259.2252396166134,9.1743119266055,1.1952961717349688,Process industries,Process Industries,america,1.944444
222,NASDAQ,INO,"Inovio Pharmaceuticals, Inc.",inovio,stock,['common'],121165275.52941176,USD,2.28,100,1,false,0,USD,-4.201680672268911,1629084,,-2.6071,48.9414621726954,0.0,0.7953520635514562,Health technology,Health Technology,america,1.333333
223,NASDAQ,VIR,"Vir Biotechnology, Inc.",vir-biotechnology,stock,['common'],665409688.204,USD,4.79,100,1,false,0,USD,-4.199999999999999,1360122,,-4.0098,-12.108927223418235,0.0,1.0659411184622232,Health technology,Health Technology,america,1.1
224,NASDAQ,BRLS,Borealis Foods Inc.,borealis-foods,stock,['common'],56234266.218579225,USD,2.63,100,1,false,0,USD,-4.189435336976328,527,,-0.9065,16.227705387672124,0.0,0.13111735874405991,Technology services,Technology Services,america,
225,NASDAQ,TAOX,Tao Synergies Inc.,synaptogenix,stock,['common'],20748523.816425122,USD,5.95,100,1,false,0,USD,-4.186795491143314,253530,,-19.966,-437.50067301997524,0.0,1.124032880832475,Technology services,Technology Services,america,
226,NASDAQ,TRDA,"Entrada Therapeutics, Inc.",entrada-therapeutics,stock,['common'],192467626.33333328,USD,5.06,100,1,false,0,USD,-4.1666666666666785,220852,,-1.7842,-160.29943560106798,0.0,0.8053323200981924,Health technology,Health Technology,america,1.0
227,NYSE,AP,Ampco-Pittsburgh Corporation,ampco-pittsburgh-series-a,stock,['common'],51402087.62499999,USD,2.53,100,1,false,0,USD,-4.1666666666666785,71923,,-0.2511,88.13327032136105,0.0,1.8074920334945064,Non-energy minerals,Non-Energy Minerals,america,
228,NASDAQ,BBNX,"Beta Bionics, Inc.",beta-bionics,stock,['common'],1100228813.676259,USD,25.31,100,1,false,0,USD,-4.165088981446427,921674,,-1.694,-34.11448024701133,0.0,1.2084860482597741,Health technology,Health Technology,america,1.222222
229,NYSE,CON,"Concentra Group Holdings Parent, Inc.",concentra-parent,stock,['common'],2721069422.333635,USD,21.23,100,1,false,0,USD,-4.153498871331821,1014143,18.195063421323276,1.1668,,1.12866817155756,0.8575787133989619,Health services,Health Services,america,1.0
230,NASDAQ,CEP,"Cantor Equity Partners, Inc.",cantor-equity-partners,stock,['common'],208060000.0,USD,20.2,100,1,false,0,USD,-4.151838671411625,195270,93.34565619223659,0.2164,,0.0,0.6509983007434123,Finance,Finance,america,
231,NASDAQ,CAAS,"China Automotive Systems, Inc.",,stock,['common'],132751093.42047933,USD,4.4,100,1,false,0,USD,-4.1394335511982465,88879,4.528612597776863,0.9716,-18.02227472156598,0.0,1.1350302788824271,Producer manufacturing,Producer Manufacturing,america,
232,NASDAQ,VTGN,"Vistagen Therapeutics, Inc.",vistagen-therapeutics,stock,['common'],99711534.8820059,USD,3.25,100,1,false,0,USD,-4.129793510324487,363049,,-1.5848,54.90681462512449,0.0,1.0125985964990574,Health technology,Health Technology,america,1.0
233,NASDAQ,MORN,"Morningstar, Inc.",morningstar,stock,['common'],10401452607.55915,USD,246.61,100,1,false,0,USD,-4.095045500505551,392221,26.239014321281893,9.3986,64.39741122966592,0.688340981566462,1.1253514741831454,Finance,Finance,america,1.333333
234,NASDAQ,MTSR,"Metsera, Inc.",metsera,stock,['common'],3593949906.585366,USD,34.21,100,1,false,0,USD,-4.093075413512758,1251475,,,,0.0,0.8181382018943922,Health technology,Health Technology,america,1.0
235,NASDAQ,NRIX,"Nurix Therapeutics, Inc.",nurix-therapeutics,stock,['common'],662815848.1957965,USD,8.67,100,1,false,0,USD,-4.092920353982293,1104243,,-2.6119,10.480858210234091,0.0,1.1765587731192468,Health technology,Health Technology,america,1.166667
236,NASDAQ,FCEL,"FuelCell Energy, Inc.",fuelcell-energy,stock,['common'],212827177.13246,USD,6.59,100,1,false,0,USD,-4.075691411935957,3058000,,-9.205,-20.805281047810283,0.0,0.8486008880172615,Electronic technology,Electronic Technology,america,2.25
237,NASDAQ,CYCN,"Cyclerion Therapeutics, Inc.",cyclerion-therapeutics,stock,['common'],7876349.382113822,USD,2.36,100,1,false,0,USD,-4.065040650406507,18303,,-0.7426,85.69584898391601,0.0,0.7266122789257429,Health technology,Health Technology,america,
238,NASDAQ,PESI,"Perma-Fix Environmental Services, Inc.",perma-fix-environmental-services,stock,['common'],161614260.55372807,USD,8.75,100,1,false,0,USD,-4.057017543859641,210986,,-1.1248,-124.60063897763578,0.0,0.47305471924693665,Industrial services,Industrial Services,america,1.25
239,NYSE,UNFI,"United Natural Foods, Inc.",united-natural-foods,stock,['common'],1695835040.1644964,USD,28.0,100,1,false,0,USD,-4.0438656614119255,748368,,-1.1397,53.11612982845859,0.0,0.9283516117091432,Distribution services,Distribution Services,america,1.772727
240,NASDAQ,LFVN,Lifevantage Corporation,lifevantage-corporation,stock,['common'],135539973.0781671,USD,10.68,100,1,false,0,USD,-4.043126684636128,207130,14.316353887399464,0.746,231.4082629942248,1.48247978436658,0.9484630118657471,Health technology,Health Technology,america,1.0
241,NASDAQ,SNCY,"Sun Country Airlines Holdings, Inc.",sun-country-airlines,stock,['common'],698444552.0879121,USD,13.1,100,1,false,0,USD,-4.0293040293040345,1412806,12.309716218755872,1.0642,18.19191470457575,0.0,1.3911355854181489,Transportation,Transportation,america,1.277778
