,exchange,name,description,logoid,type,typespecs,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
349,NASDAQ,ECX,ECARX Holdings Inc.,ecarx,stock,['common'],1.75,0.0,0.0,2628,2.285714285714288,1.82,4.0000000000000036,621413,680188691.5200001,-0.5058709435038985,100,1,false,0,USD,USD
350,NYSE,FRO,Frontline Plc,frontline,stock,['common'],23.81,0.5799999999999983,2.496771416272055,83023,2.281532501076199,23.99,3.2716315109771763,3599459,5340723128.311666,-13.421706092621067,100,1,false,0,USD,USD
351,NASDAQ,HAO,Haoxi Health Technology Limited,haoxi-health-technology-limited,stock,['common'],1.23,-0.09000000000000008,-6.818181818181824,11057,2.2727272727272747,1.28,-3.030303030303033,141410,25610105.4,,100,1,false,0,USD,USD
352,NYSE,RGR,"Sturm, Ruger & Company, Inc.",sturm-ruger,stock,['common'],37.99,0.8400000000000034,2.2611036339165635,538,2.2611036339165635,37.83,1.8304172274562578,216461,611409664.6538359,-21.07241242329626,100,1,false,0,USD,USD
353,NASDAQ,AMRK,"A-Mark Precious Metals, Inc.",a-mark-precious-metals,stock,['common'],27.93,0.9499999999999993,3.521126760563378,1313,2.2609340252038526,27.1,0.44477390659748334,675592,667727380.4077095,-35.554032183443994,100,1,false,0,USD,USD
354,NASDAQ,NEOV,NeoVolta Inc.,neovolta,stock,['common'],5.17,0.2999999999999998,6.160164271047224,31649,2.25872689938399,5.2,6.776180698151952,568676,177449320.90349078,15.187542496041225,100,1,false,0,USD,USD
355,NYSE,ECO,Okeanis Eco Tankers Corp.,sector/energy,stock,['common'],30.2,0.9399999999999977,3.2125768967874153,13063,2.255639097744361,30.75,5.092276144907718,231891,974160779.784689,-12.364906304689358,100,1,false,0,USD,USD
356,NASDAQ,BTAI,"BioXcel Therapeutics, Inc.",bioxcel-therapeutics,stock,['common'],3.06,-0.04999999999999982,-1.6077170418006375,122969,2.2508038585209094,3.17,1.9292604501607735,2189099,46144875.585209005,135.2789144450854,100,1,false,0,USD,USD
357,NASDAQ,LVLU,"Lulu's Fashion Lounge Holdings, Inc.",lulu-s-fashion-lounge,stock,['common'],5.05,0.5999999999999996,13.483146067415722,195076,2.2471910112359472,5.17,16.17977528089887,1722125,14211967.519101122,-81.78690208704973,100,1,false,0,USD,USD
358,NASDAQ,INBS,Intelligent Bio Solutions Inc.,gbs-inc,stock,['common'],1.75,-0.040000000000000036,-2.2346368715083815,3186,2.2346368715083815,1.72,-3.9106145251396685,133787,15444142.324022345,230.969235995403,100,1,false,0,USD,USD
359,NYSE,SON,Sonoco Products Company,sonoco,stock,['common'],48.34,0.5500000000000043,1.1508683825068096,3125,2.2180372462858386,47.72,-0.1464741577735934,1690472,4706674893.75769,-16.15781791778208,100,1,false,0,USD,USD
360,NYSE,BNED,"Barnes & Noble Education, Inc",barnes-and-noble-education,stock,['common'],8.35,0.20999999999999908,2.5798525798525684,1100,2.2113022113022076,8.59,5.528255528255519,454438,292522569.3894348,-13.742038044240509,100,1,false,0,USD,USD
361,NYSE,EBS,Emergent BioSolutions Inc.,emergent-biosolutions,stock,['common'],8.29,0.14999999999999858,1.842751842751825,6289,2.2113022113022076,8.0,-1.7199017199017268,908611,426808795.085995,0.7187582793786786,100,1,false,0,USD,USD
