,exchange,name,description,logoid,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
415,NYSE,MCS,Marcus Corporation (The),marcus-the,stock,['common'],487046760.89695406,USD,15.91,100,1,false,0,USD,3.1108230719377863,269309,35.97106036626724,0.4423,,1.87945560596241,1.3524008958791567,1.0,Consumer services,Consumer Services,america
416,NASDAQ,GLXY,Galaxy Digital Inc.,galaxy-digital,stock,['common'],9223418010.534113,USD,24.22,100,1,false,0,USD,3.1077054065559833,6767967,,-2.2234784,-182.97275812389188,0.0,1.0375471407503487,1.076923,Finance,Finance,america
417,NYSE,TEN,Tsakos Energy Navigation Ltd,tsakos-energy-navigation,stock,['common'],690223375.8010802,USD,22.91,100,1,false,0,USD,3.105310531053111,679848,5.1046099685835875,4.4881,-8.978259106027409,6.75067506750675,1.256111517385699,1.333333,Transportation,Transportation,america
418,NASDAQ,AMRK,"A-Mark Precious Metals, Inc.",a-mark-precious-metals,stock,['common'],605276034.3464764,USD,24.58,100,1,false,0,USD,3.1040268456375775,318827,16.531037729504334,1.4869,-54.38817141630111,3.35570469798658,1.5074719453346561,1.25,Finance,Finance,america
419,NASDAQ,DOMO,"Domo, Inc.",domo,stock,['common'],606342467.379617,USD,15.07,100,1,false,0,USD,3.077975376196998,575813,,-1.9518,9.718303344280502,0.0,0.4954700108445077,1.333333,Technology services,Technology Services,america
420,NASDAQ,CFBK,CF Bankshares Inc.,cf-bankshares,stock,['common'],164411433.4680679,USD,25.5,100,1,false,0,USD,3.071948261924016,53946,9.174642009066705,2.7794,37.928638777231896,1.17219078415521,1.3465661888227967,1.0,Finance,Finance,america
421,NASDAQ,ALLT,Allot Ltd.,allot-ltd,stock,['common'],390618558.403778,USD,8.73,100,1,false,0,USD,3.0696576151121575,562903,,-0.0509,94.67015706806282,0.0,0.9205163171236218,1.0,Electronic technology,Electronic Technology,america
422,NASDAQ,FNKO,"Funko, Inc.",funko,stock,['common'],186581437.1620795,USD,3.37,100,1,false,0,USD,3.058103975535171,1571934,,-1.2076,-38.10612991765783,0.0,0.9731019490279932,1.333333,Consumer durables,Consumer Durables,america
423,NASDAQ,AGYS,"Agilysys, Inc.",agilysys,stock,['common'],3195196012.626447,USD,113.94,100,1,false,0,USD,3.057163531114323,252838,230.08885298869146,0.4952,-86.29128256235639,0.0,1.568905102332713,1.142857,Technology services,Technology Services,america
424,NASDAQ,CURX,Curanex Pharmaceuticals Inc,,stock,['common'],,USD,7.45,100,1,false,0,USD,3.04287690179806,466583,,-0.0151,,0.0,,,Health technology,Health Technology,america
425,NYSE,IBM,International Business Machines Corporation,international-bus-mach,stock,['common'],238552757433.52798,USD,256.09,100,1,false,0,USD,3.0418862913933826,6940268,41.5379874132226,6.1652,-32.04743849748701,2.69585160745182,1.9243083411469528,1.75,Technology services,Technology Services,america
426,NASDAQ,TREE,"LendingTree, Inc.",lendingtree,stock,['common'],1007755682.0871744,USD,73.99,100,1,false,0,USD,3.0357888873415857,217903,,-4.0624,58.525355031700165,0.0,0.8076167701778177,1.0,Finance,Finance,america
