,exchange,name,description,logoid,type,typespecs,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,pricescale,fractional,minmove2,fundamental_currency_code,currency
351,NASDAQ,IREN,IREN Limited,iris-energy,stock,['common'],34.77,0.8100000000000023,2.3851590106007134,829814,1.3839811542991722,37.14,9.363957597173144,38205278,10070071941.987633,329.4244476298735,100,false,0,USD,USD
352,NYSE,CATO,Cato Corporation (The),cato-the,stock,['common'],4.73,0.11000000000000032,2.3809523809523876,3200,1.731601731601733,4.56,-1.2987012987013093,46972,89952049.4025974,-19.06038547044834,100,false,0,USD,USD
353,NASDAQ,GOVX,"GeoVax Labs, Inc.",geovax,stock,['common'],0.7186,0.016700000000000048,2.3792563043168613,16207,5.3853825331243845,0.6864,-2.208291779455757,487514,17406825.293631572,-51.30533525308867,10000,false,0,USD,USD
354,NASDAQ,CERS,Cerus Corporation,cerus-corporation,stock,['common'],1.2592,0.029200000000000115,2.3739837398374077,1455,0.8130081300813016,1.2,-2.4390243902439046,839851,230038553.1707317,-40.03286048268583,100,false,0,USD,USD
355,NASDAQ,ATOM,Atomera Incorporated,atomera,stock,['common'],3.45,0.08000000000000007,2.373887240356085,444,2.370919881305634,3.33,-1.1869436201780426,211135,104837572.81602374,38.06391183649253,100,false,0,USD,USD
356,NYSE,BBAI,"BigBear.ai, Inc.",bigbear-ai,stock,['common'],5.18,0.1200000000000001,2.371541501976287,2988060,1.3833992094861718,5.09,0.5928853754940762,91990476,1886879195.4545457,372.6824850471881,100,false,0,USD,USD
357,NASDAQ,SYPR,"Sypris Solutions, Inc.",sypris-solutions,stock,['common'],2.16,0.050000000000000266,2.36966824644551,313,4.265402843601911,2.24,6.16113744075831,90633,51587130.99526068,27.200088188713544,100,false,0,USD,USD
358,NASDAQ,SFIX,"Stitch Fix, Inc.",stitch-fix,stock,['common'],5.599,0.12900000000000045,2.358318098720301,7786,2.742230347349184,5.57,1.8281535648994613,2667452,726810328.3967093,49.92335019632127,100,false,0,USD,USD
359,NASDAQ,ABSI,Absci Corporation,absci,stock,['common'],2.61,0.06000000000000005,2.3529411764705905,229159,5.882352941176485,2.62,2.745098039215698,3627639,391749319.88235295,-28.477805210852416,100,false,0,USD,USD
360,AMEX,MMA,Mixed Martial Arts Group Limited,alta-global-limited,stock,['common'],1.75,0.040000000000000036,2.3391812865497097,76137,9.356725146198839,1.77,3.5087719298245648,3249081,23082939.93,,100,false,0,USD,USD
361,NYSE,UWMC,UWM Holdings Corporation,uwm-holdings,stock,['common'],7.01,0.16000000000000014,2.3357664233576667,29691,2.3357664233576667,6.75,-1.459854014598535,7566950,10795394675.036495,-39.29960691088004,100,false,0,USD,USD
362,NASDAQ,LAB,Standard BioTools Inc.,standard-biotools,stock,['common'],1.32,0.030000000000000027,2.325581395348839,1400,0.7751937984496131,1.37,6.201550387596905,1353599,523333253.0155039,-39.117288621128175,100,false,0,USD,USD
363,NASDAQ,FEIM,"Frequency Electronics, Inc.",frequency-electronics,stock,['common'],27.7601,0.6301000000000023,2.3225211942499167,15980,5.08661997788427,28.005,3.2252119424990786,530129,272430619.8826023,132.57277758856273,100,false,0,USD,USD
364,NASDAQ,KURA,"Kura Oncology, Inc.",kura-oncology,stock,['common'],8.38,0.19000000000000128,2.3199023199023356,13994,2.564102564102575,8.21,0.24420024420026068,1435286,712604875.6678878,-57.51358194689441,100,false,0,USD,USD
365,NASDAQ,CIGL,Concorde International Group Ltd,concorde-international-ltd,stock,['common'],3.54,0.08000000000000007,2.3121387283237014,8854,0.0,3.18,-8.092485549132942,132593,77249295.55999999,,100,false,0,USD,USD
366,NASDAQ,GOSS,"Gossamer Bio, Inc.",gossamer-bio,stock,['common'],3.54,0.08000000000000007,2.3121387283237014,12765,-3.1791907514450832,3.18,-8.092485549132942,4135188,723070364.0635839,182.81984561664586,100,false,0,USD,USD
367,NYSE,EVEX,"Eve Holding, Inc.",eve,stock,['common'],3.99,0.0900000000000003,2.3076923076923155,678,1.282051282051289,3.82,-2.051282051282053,1199347,1149368874.651282,45.03346926945113,100,false,0,USD,USD
368,NASDAQ,ZEO,Zeo Energy Corporation,zeo-energy,stock,['common'],1.33,0.030000000000000027,2.3076923076923097,25823,3.0769230769230793,1.24,-4.615384615384619,114964,71307805.32307692,21.405248910194505,100,false,0,USD,USD
369,NYSE,NRDY,Nerdy Inc.,nerdy,stock,['common'],1.33,0.030000000000000027,2.3076923076923097,11268,0.7692307692307698,1.3,0.0,314345,241537917.0,31.416434047749725,100,false,0,USD,USD
370,NYSE,COOK,"Traeger, Inc.",traeger,stock,['common'],1.33,0.030000000000000027,2.3076923076923097,300,2.3076923076923097,1.33,2.3076923076923097,260624,180728679.76153848,-63.162097685878024,100,false,0,USD,USD
371,NASDAQ,FLNC,"Fluence Energy, Inc.",fluence-energy,stock,['common'],7.16,0.16000000000000014,2.285714285714288,25221,0.8571428571428517,7.39,5.571428571428567,3856926,1348720696.5928571,-59.267039689700894,100,false,0,USD,USD
372,NASDAQ,KYIV,Kyivstar Group Ltd.,,stock,['common'],11.2,0.25,2.2831050228310503,11454,1.3698630136986336,10.68,-2.4657534246575303,772996,2465622500.4,,100,false,0,USD,USD
373,NASDAQ,RXRX,"Recursion Pharmaceuticals, Inc.",recursion,stock,['common'],4.94,0.11000000000000032,2.2774327122153273,1411020,1.2422360248447124,4.77,-1.2422360248447308,20913726,2073343797.8012419,-0.6411514414872944,100,false,0,USD,USD
374,NASDAQ,HKIT,Hitek Global Inc.,hitek-global,stock,['common'],1.8,0.040000000000000036,2.2727272727272747,3587,-0.5681818181818187,1.73,-1.7045454545454561,58882,50687897.125,-9.202453178434482,100,false,0,USD,USD
375,NASDAQ,ABOS,"Acumen Pharmaceuticals, Inc.",acumen-pharmaceuticals,stock,['common'],1.35,0.030000000000000027,2.2727272727272747,800,0.7575757575757582,1.26,-4.545454545454549,201155,76322519.31818181,-49.957134549367325,100,false,0,USD,USD
376,AMEX,MHH,"Mastech Digital, Inc",mastech-digital,stock,['common'],7.67,0.16999999999999993,2.2666666666666657,699,8.266666666666657,7.61,1.466666666666671,8530,89677629.07866669,-15.260358428964274,100,false,0,USD,USD
377,NYSE,SBH,"Sally Beauty Holdings, Inc. (Name to be changed from Sally Holdings, Inc.)",sally-beauty,stock,['common'],15.34,0.33999999999999986,2.2666666666666657,790,1.1999999999999982,15.79,5.266666666666661,2523648,1562338171.9926665,2.3806774584824417,100,false,0,USD,USD
378,NASDAQ,SSSS,SuRo Capital Corp.,suro-capital,stock,['common'],9.48,0.21000000000000085,2.2653721682847987,1105,1.9417475728155311,9.1,-1.8338727076591146,323615,217381787.5512406,125.05905313347147,100,false,0,USD,USD
379,NASDAQ,SPAI,Safe Pro Group Inc.,safe-pro,stock,['common'],8.13,0.1800000000000006,2.264150943396234,22380,2.389937106918244,7.41,-6.7924528301886795,412304,139402120.0490566,,100,false,0,USD,USD
380,NASDAQ,HYFT,MindWalk Holdings Corp.,,stock,['common'],2.26,0.04999999999999982,2.262443438914019,4461596,8.597285067873301,1.76,-20.361990950226243,11309611,81231248.65158372,,100,false,0,USD,USD
381,NASDAQ,SNAL,"Snail, Inc.",snail,stock,['common'],0.9,0.01990000000000003,2.2611066924213192,1733,3.3859788660379557,0.891,1.2384956254971051,108038,33093946.1684,,10000,false,0,USD,USD
382,NYSE,RGR,"Sturm, Ruger & Company, Inc.",sturm-ruger,stock,['common'],37.99,0.8400000000000034,2.2611036339165635,538,2.2611036339165635,37.83,1.8304172274562578,216461,611409664.6538359,-21.07241242329626,100,false,0,USD,USD
383,NYSE,DK,"Delek US Holdings, Inc.",delek-us-holdings,stock,['common'],28.5308,0.6308000000000007,2.2609318996415797,800,2.3268817204301095,28.48,2.078853046594989,1688609,1713140465.3075268,26.477723598768527,100,false,0,USD,USD
384,NASDAQ,IXHL,Incannex Healthcare Inc.,incannex-healthcare,stock,['common'],0.55985,0.012349999999999972,2.2557077625570727,2973433,0.4566210045662206,0.529,-3.3789954337899477,21459490,49564849.69132421,98.84860526667669,10000,false,0,USD,USD
385,NASDAQ,UPST,"Upstart Holdings, Inc.",upstart,stock,['common'],64.5,1.4200000000000017,2.2511097019657607,92344,1.4743183259353312,66.98,6.182625237793288,6186976,6444664608.306912,85.3372378100418,100,false,0,USD,USD
386,NASDAQ,IQST,iQSTEL Inc.,iqstel,stock,['common'],6.38,0.13999999999999968,2.2435897435897383,799,8.012820512820513,6.15,-1.4423076923076898,65775,22184691.971153848,-26.731924576702074,100,false,0,USD,USD
387,NASDAQ,SAFX,"XCF Global, Inc.",xcf-global,stock,['common'],1.3291,0.029099999999999904,2.238461538461531,7604,0.0,1.28,-1.5384615384615397,265269,191103997.04615387,152.21139112565461,100,false,0,USD,USD
388,NYSE,RRX,Regal Rexnord Corporation,regal-beloit,stock,['common'],141.96,3.0999999999999943,2.2324643525853336,1100,2.009217917326798,141.07,1.591531038455984,843768,9363408282.249313,-11.235674105791697,100,false,0,USD,USD
389,NASDAQ,VELO,"Velo3D, Inc.",velo3d,stock,['common'],3.21,0.06999999999999984,2.2292993630573195,856,0.31847133757961105,3.2,1.9108280254777086,180487,63682833.12101912,702.2487669699467,100,false,0,USD,USD
390,AMEX,KULR,"KULR Technology Group, Inc.",kulr-technology,stock,['common'],4.6,0.09999999999999964,2.2222222222222143,71151,0.0,4.5,0.0,1195314,184988445.0,290.15693420280184,100,false,0,USD,USD
391,NASDAQ,SNTI,"Senti Biosciences, Inc.",senti-biosciences,stock,['common'],1.38,0.029999999999999805,2.2222222222222077,3725,0.0,1.36,0.7407407407407414,102299,35577881.06666667,216.91584059889757,100,false,0,USD,USD
392,AMEX,WWR,"Westwater Resources, Inc.",westwater-resources,stock,['common'],0.6922,0.015000000000000013,2.215002953337273,34240,0.41346721795629426,0.675,-0.32486709982279677,1039031,58202611.59923213,118.13297364783463,10000,false,0,USD,USD
393,NASDAQ,FMFC,Kandal M Venture Limited,kandal-m-venture-limited,stock,['common'],11.4986,0.2485999999999997,2.209777777777775,1542,0.44444444444445075,12.45,10.66666666666666,2476923,,,100,false,0,USD,USD
394,NASDAQ,NNE,Nano Nuclear Energy Inc.,nano-nuclear-energy,stock,['common'],33.79,0.7299999999999969,2.20810647307924,55520,1.2704174228674971,37.35,12.976406533575313,5323834,1553038209.555354,343.77530337034847,100,false,0,USD,USD
395,NYSE,CRC,California Resources Corporation,california-resources-corporation,stock,['common'],54.18,1.1700000000000017,2.207130730050937,6029,0.0,56.33,6.2629692510847015,2667849,4713693408.566497,-11.169300915142937,100,false,0,USD,USD
396,AMEX,CTGO,"Contango ORE, Inc.",contango-ore,stock,['common'],22.71,0.490000000000002,2.2052205220522145,903,1.125112511251125,24.0,8.010801080108017,271372,304068250.5850585,6.7873850736329615,100,false,0,USD,USD
