,exchange,name,description,logoid,type,typespecs,Value.Traded,currency,close,pricescale,minmov,fractional,minmove2,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,recommendation_mark,sector.tr,market,sector
307,NYSE,APO,"Apollo Global Management, Inc. (New)",apollo,stock,['common'],331314230.88,USD,138.48,100,1,false,0,0.32601608346010913,2392506,0.6720123606146635,79679501395.35406,USD,26.128301886792453,5.3,-43.09091494776176,1.40911396073317,1.25,Finance,america,Finance
308,NYSE,GWW,"W.W. Grainger, Inc.",grainger,stock,['common'],330659922.18,USD,1012.62,100,1,false,0,0.8525386929068044,326539,1.0487375061784618,48435883822.46161,USD,25.551725704134725,39.6302,8.050145047658527,0.858514431408481,1.928571,Distribution services,america,Distribution Services
309,NYSE,ALK,"Alaska Air Group, Inc.",alaska-air,stock,['common'],329879765.7,USD,59.13,100,1,false,0,-6.69086318447214,5578890,2.150523749011545,6818307108.6481,USD,24.034631330786116,2.4602,42.455124493341046,0.0,1.176471,Transportation,america,Transportation
310,NASDAQ,TTWO,"Take-Two Interactive Software, Inc.",take-two-interactive-software,stock,['common'],329698974.0,USD,247.25,100,1,false,0,0.4020141314058349,1333464,1.0876252393288726,45610259602.62122,USD,,-23.9368,-7.46327622741803,0.0,1.258621,Technology services,america,Technology Services
311,NASDAQ,QUBT,Quantum Computing Inc.,quantum-computing,stock,['common'],329613289.915,USD,16.835,100,1,false,0,-1.0288065843621441,19579049,1.171876342964893,2691633606.6790123,USD,,-0.6801,-107.5373817516021,0.0,2.0,Technology services,america,Technology Services
312,NYSE,EME,"EMCOR Group, Inc.",emcor,stock,['common'],329222931.25,USD,628.75,100,1,false,0,-0.052457557067470094,523615,1.1037755377800413,28145524026.53478,USD,26.09137687774919,24.098,38.023861208639524,0.158962294143829,1.545455,Industrial services,america,Industrial Services
313,NYSE,LYB,LyondellBasell Industries NV,lyondellbasell,stock,['common'],329177247.74,USD,52.58,100,1,false,0,-4.7808764940239055,6260503,1.4343639013268084,16912275217.247013,USD,68.97546897546897,0.7623,-89.2712379665597,9.81528431727635,1.875,Process industries,america,Process Industries
314,NASDAQ,ULTA,"Ulta Beauty, Inc.",ulta-beauty,stock,['common'],328897324.8,USD,526.08,100,1,false,0,2.2268858575259487,625185,0.5800680603541339,23588566123.517315,USD,20.163583819459884,26.0906,4.695751272050199,0.0,1.607143,Retail trade,america,Retail Trade
315,NASDAQ,CORZ,"Core Scientific, Inc.",core-scientific,stock,['common'],328345327.68,USD,16.32,100,1,false,0,2.900378310214381,20119199,1.4997351840782431,4984265751.707439,USD,,-0.5718,86.942522436117,0.0,1.657895,Technology services,america,Technology Services
316,NYSE,VLO,Valero Energy Corporation,valero-energy,stock,['common'],327934684.0,USD,157.57,100,1,false,0,0.5423685553853971,2081200,0.7291551561030439,48949398821.38463,USD,65.33836457123901,2.4116,-86.21659312772914,2.84583971413987,1.409091,Energy minerals,america,Energy Minerals
317,NYSE,HUBS,"HubSpot, Inc.",hubspot,stock,['common'],326894084.09999996,USD,508.14,100,1,false,0,3.389761536583374,643315,0.7922439487975795,26775476297.336006,USD,,-0.2261,58.68055555555556,0.0,1.138889,Technology services,america,Technology Services
318,NYSE,CAVA,"CAVA Group, Inc.",cava,stock,['common'],326883571.68,USD,62.54,100,1,false,0,-1.7130284457017184,5226792,1.4963693205915196,7251781562.269683,USD,52.67857142857142,1.1872,226.42287599670055,0.0,1.404762,Consumer services,america,Consumer Services
