,ticker,name,description,logoid,update_mode,type,typespecs,Value.Traded,currency,close,pricescale,minmov,fractional,minmove2,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,recommendation_mark
32,NYSE:C,C,"Citigroup, Inc.",citigroup,delayed_streaming_900,stock,['common'],2099352999.24,USD,90.02,100,1,false,0,-0.7716049382716081,23320962,1.4881053189000983,168133384767.6003,USD,13.309480158495475,6.7636,88.80607430980098,2.46913580246914,Finance,america,Finance,1.36
33,AMEX:BMNR,BMNR,"BitMine Immersion Technologies, Inc.",,delayed_streaming_900,stock,['common'],2003823987.1999998,USD,44.8,100,1,false,0,12.112112112112102,44728214,1.922914216721464,3593863833.273273,USD,,-2.8796,-96.26499454743728,0.0,Finance,america,Finance,
34,NYSE:V,V,Visa Inc.,visa,delayed_streaming_900,stock,['common'],1939920478.6,USD,349.9,100,1,false,0,0.8299233473574998,5544214,0.9383884112556631,678511790387.2965,USD,35.58896223440504,9.8317,11.649008051420076,0.659904328280791,Finance,america,Finance,1.290698
35,NASDAQ:MRVL,MRVL,"Marvell Technology, Inc.",marvell-tech,delayed_streaming_900,stock,['common'],1875911391.2499998,USD,70.85,100,1,false,0,-2.154398563734294,26477225,1.5343711753325882,61086873953.94075,USD,,-0.5738,49.440479337386556,0.331445932882199,Electronic technology,america,Electronic Technology,1.181818
36,NASDAQ:AMAT,AMAT,"Applied Materials, Inc.",applied-materials,delayed_streaming_900,stock,['common'],1831223350.88,USD,194.81,100,1,false,0,-2.247980330172106,9400048,1.4989087760644753,156334663025.24872,USD,23.710763014082104,8.2161,-5.589198506176383,0.832956997340559,Producer manufacturing,america,Producer Manufacturing,1.378378
37,NYSE:RBLX,RBLX,Roblox Corporation,roblox,delayed_streaming_900,stock,['common'],1819115486.32,USD,119.02,100,1,false,0,5.814366998577518,15284116,2.234275647967546,80729442835.38692,USD,,-1.3404,27.608554763447824,0.0,Technology services,america,Technology Services,1.455882
38,NASDAQ:TTD,TTD,"The Trade Desk, Inc.",the-trade-desk,delayed_streaming_900,stock,['common'],1819001937.8999999,USD,81.13,100,1,false,0,0.9079601990049624,22420830,2.349829447685176,39747656371.00285,USD,99.21731686437569,0.8177,103.05438291532157,0.0,Technology services,america,Technology Services,1.365854
39,NYSE:BA,BA,Boeing Company (The),boeing,delayed_streaming_900,stock,['common'],1717593935.2,USD,229.9,100,1,false,0,-0.043478260869562746,7471048,0.9827890421422785,173345862878.68347,USD,,-17.9353,-406.76141500904157,0.0,Electronic technology,america,Electronic Technology,1.354839
40,NYSE:UBER,UBER,"Uber Technologies, Inc.",uber,delayed_streaming_900,stock,['common'],1601422506.75,USD,90.75,100,1,false,0,-1.5833423706756249,17646529,1.0695107575580767,189773513435.4951,USD,15.824164327189663,5.7349,795.0991103480567,0.0,Transportation,america,Transportation,1.245614
41,NASDAQ:SMCI,SMCI,"Super Micro Computer, Inc.",super-micro-computer,delayed_streaming_900,stock,['common'],1600074787.02,USD,53.22,100,1,false,0,0.09403799134849944,30065291,0.9071524855042041,31762633012.319725,USD,29.374103101887624,1.8118,1.6836906499045925,0.0,Electronic technology,america,Electronic Technology,1.789474
42,NASDAQ:CRWV,CRWV,"CoreWeave, Inc.",coreweave,delayed_streaming_900,stock,['common'],1555551560.6399999,USD,143.04,100,1,false,0,1.7426559499253067,10874941,0.8695348717198428,69810898250.23117,USD,,,,0.0,Technology services,america,Technology Services,1.895833
43,NASDAQ:LRCX,LRCX,Lam Research Corporation,lam-research,delayed_streaming_900,stock,['common'],1542651870.8700001,USD,100.37,100,1,false,0,-0.6925892945483216,15369651,1.81139144775184,128385077487.30762,USD,27.96133273902385,3.5896,31.989998529195475,0.910260215692095,Producer manufacturing,america,Producer Manufacturing,1.279412
44,NASDAQ:SHOP,SHOP,Shopify Inc.,shopify,delayed_streaming_900,stock,['common'],1525676280.0,USD,120.0,100,1,false,0,4.302477183833118,12713969,2.0057406538828286,155685703679.2094,USD,102.25081654945826,1.17358476,,0.0,Commercial services,america,Commercial Services,1.386792
45,NYSE:BLK,BLK,"BlackRock, Inc.",blackrock,delayed_streaming_900,stock,['common'],1523154316.16,USD,1082.24,100,1,false,0,3.4488032423338617,1407409,2.224173932639599,167667328846.61127,USD,26.160525221662493,41.3692,2.705856357980402,1.97101781754225,Finance,america,Finance,1.175
46,NYSE:HD,HD,"Home Depot, Inc. (The)",home-depot,delayed_streaming_900,stock,['common'],1522606559.3999999,USD,357.4,100,1,false,0,-0.34575061342851027,4260231,1.2828413672588936,355587274045.25037,USD,24.24645359999457,14.7403,-1.110306055360999,2.53736337274147,Retail trade,america,Retail Trade,1.434211
47,NYSE:PGR,PGR,Progressive Corporation (The),progressive-ohio,delayed_streaming_900,stock,['common'],1493704348.56,USD,246.46,100,1,false,0,1.758876961189108,6060636,1.5467775696993264,144480674722.31165,USD,16.594286329879278,14.8521,52.022068231368415,2.02312138728324,Finance,america,Finance,1.56
48,NYSE:MS,MS,Morgan Stanley,morgan-stanley,delayed_streaming_900,stock,['common'],1483282473.8899999,USD,139.79,100,1,false,0,-1.271276220072047,10610791,1.9248901801401443,224267760041.4597,USD,16.402271607256,8.5226,55.269726174643374,2.61317889681475,Finance,america,Finance,1.730769
49,NYSE:NU,NU,Nu Holdings Ltd.,nu-holdings,delayed_streaming_900,stock,['common'],1481599387.25,USD,13.85,100,1,false,0,2.2895125553914366,106974685,1.4459806172333944,66738424239.86336,USD,31.505914467697906,0.4396,68.81720430107525,0.0,Finance,america,Finance,1.642857
50,NASDAQ:PEP,PEP,"PepsiCo, Inc.",pepsico,delayed_streaming_900,stock,['common'],1480948402.35,USD,135.35,100,1,false,0,1.1508855840370615,10941621,1.2921180783169715,185575602576.84213,USD,19.902070344665333,6.8008,2.3631054516993295,4.10096405350871,Consumer non-durables,america,Consumer Non-Durables,1.791667
51,NYSE:CRM,CRM,"Salesforce, Inc.",salesforce,delayed_streaming_900,stock,['common'],1457285687.55,USD,257.95,100,1,false,0,0.14364469291094206,5649489,0.9007355880789665,246600187144.56033,USD,40.34692568782945,6.3933,14.98534199025197,0.633589564407175,Technology services,america,Technology Services,1.237288
52,NASDAQ:TXN,TXN,Texas Instruments Incorporated,texas-instruments,delayed_streaming_900,stock,['common'],1391119747.52,USD,216.64,100,1,false,0,-0.7876900531232951,6421343,1.2904551452025126,196811384573.686,USD,41.04662839386877,5.2779,-17.7410305165051,2.46382121267631,Electronic technology,america,Electronic Technology,1.77907
53,NYSE:OKLO,OKLO,Oklo Inc.,altc,delayed_streaming_900,stock,['common'],1385428107.45,USD,64.37,100,1,false,0,5.611156685808042,21522885,1.4929202614146964,9410710248.204596,USD,,-5.399,-2987.16577540107,0.0,Producer manufacturing,america,Producer Manufacturing,1.384615
54,NASDAQ:UAL,UAL,"United Airlines Holdings, Inc.",united-airlines,delayed_streaming_900,stock,['common'],1370538932.49,USD,88.47,100,1,false,0,2.4195415605464268,15491567,2.0800927372402205,28894350219.12017,USD,8.065016044340723,10.9696,35.48068372690445,0.0,Transportation,america,Transportation,1.192308
55,NYSE:U,U,Unity Software Inc.,unity,delayed_streaming_900,stock,['common'],1362735088.06,USD,33.94,100,1,false,0,14.314584035028616,40151299,2.7773682262517747,14108675337.869316,USD,,-1.1241,49.75191095614858,0.0,Technology services,america,Technology Services,1.532258
56,NYSE:MA,MA,Mastercard Incorporated,mastercard,delayed_streaming_900,stock,['common'],1346778800.6399999,USD,555.52,100,1,false,0,0.9375681372192688,2424357,0.9105703680483791,504438616321.0373,USD,38.96745230078563,14.256,13.306522119251623,0.516025873973399,Finance,america,Finance,1.378049
57,NYSE:CAT,CAT,"Caterpillar, Inc.",caterpillar,delayed_streaming_900,stock,['common'],1338608982.8799999,USD,412.88,100,1,false,0,2.0363780150257043,3242126,1.2924819660525781,194183652637.95355,USD,20.119681110266455,20.5212,-7.354335401034759,1.3938315539739,Producer manufacturing,america,Producer Manufacturing,1.5
58,NASDAQ:INTC,INTC,Intel Corporation,intel,delayed_streaming_900,stock,['common'],1335661984.23,USD,22.69,100,1,false,0,-1.0034904013961625,58865667,0.7669584143938216,98973780329.65837,USD,,-4.4723,-565.913115949578,2.18150087260035,Electronic technology,america,Electronic Technology,2.056818
59,NASDAQ:WBD,WBD,"Warner Bros. Discovery, Inc. - Series A",warner-bros-discovery,delayed_streaming_900,stock,['common'],1326515233.96,USD,12.58,100,1,false,0,4.571903574397346,105446362,1.768724435829314,31123862194.942646,USD,,-4.4045,-254.88679397308834,0.0,Consumer services,america,Consumer Services,1.464286
