,ticker,name,description,logoid,update_mode,type,typespecs,market_cap_basicfundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
39,NYSE:CRS,CRS,Carpenter Technology Corporation,carpenter-technology,streaming,stock,['common'],,249.39,100,1,false,0,USD,-12.072065719423195,2675623,35.33988011733197,7.0569,168.84452741056805,0.282057610266897,Non-energy minerals,Non-Energy Minerals,america,1.125,3.4759022120557534
40,NASDAQ:RPID,RPID,"Rapid Micro Biosystems, Inc.",rapid-micro-biosystems,streaming,stock,['common'],,3.33,100,1,false,0,USD,-11.904761904761898,94763,,-1.0245,14.86621239820509,0.0,Producer manufacturing,Producer Manufacturing,america,1.0,0.7759800983291899
41,NYSE:HGV,HGV,Hilton Grand Vacations Inc.,hilton-grand-vacations,streaming,stock,['common'],,44.82,100,1,false,0,USD,-11.736904293028754,3489756,137.10614866931783,0.3269,-84.60922787193974,0.0,Finance,Finance,america,1.6,2.9450389460107926
42,NASDAQ:TAOP,TAOP,Taoping Inc.,,streaming,stock,['common'],,3.78,100,1,false,0,USD,-11.682242990654215,25054,,-1.5279,92.92815684967648,0.0,Technology services,Technology Services,america,,0.807113058325133
43,NASDAQ:TRDA,TRDA,"Entrada Therapeutics, Inc.",entrada-therapeutics,streaming,stock,['common'],,5.88,100,1,false,0,USD,-11.445783132530119,271379,7.27362691736764,0.8084,28.890306122448983,0.0,Health technology,Health Technology,america,1.0,1.9573687581503239
44,NYSE:OIS,OIS,"Oil States International, Inc.",oil-states-international,streaming,stock,['common'],,4.99,100,1,false,0,USD,-11.367673179396087,1527070,57.55478662053057,0.0867,,0.0,Industrial services,Industrial Services,america,1.375,2.0516216472570927
45,NASDAQ:ARAI,ARAI,Arrive AI Inc.,arrive-ai,streaming,stock,['common'],,7.9,100,1,false,0,USD,-11.335578002244667,252708,,,,0.0,Technology services,Technology Services,america,,0.9326202292837172
46,NASDAQ:GLUE,GLUE,"Monte Rosa Therapeutics, Inc.",monte-rosa-therapeutics,streaming,stock,['common'],,4.95,100,1,false,0,USD,-11.29032258064516,601409,73.66071428571429,0.0672,,0.0,Health technology,Health Technology,america,1.111111,1.3457952918009308
47,NYSE:VHC,VHC,VirnetX Holding Corp,virnetx,streaming,stock,['common'],,14.59,100,1,false,0,USD,-11.22874266070397,18146,,-4.6121,40.077694626338214,0.0,Technology services,Technology Services,america,,0.7105183816187728
48,NYSE:MUSA,MUSA,Murphy USA Inc.,murphy-usa,streaming,stock,['common'],,362.48,100,1,false,0,USD,-11.163394848418,1263011,15.006913911452253,24.1542,-2.3563796888075084,0.470553635762076,Retail trade,Retail Trade,america,1.5,4.633698840814937
49,NASDAQ:MTEX,MTEX,"Mannatech, Incorporated",mannatech-incorporated,streaming,stock,['common'],,8.2,100,1,false,0,USD,-11.15926327193934,5195,,-0.1099,87.77530589543939,0.0,Health technology,Health Technology,america,,0.2023920835281284
