,ticker,name,description,logoid,update_mode,type,typespecs,Value.Traded,currency,close,pricescale,minmov,fractional,minmove2,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,recommendation_mark
19,NASDAQ:MU,MU,"Micron Technology, Inc.",micron-technology,streaming,stock,['common'],2616370040.96,USD,114.14,100,1,false,0,2.8751689950428103,22922764,1.2036062931341065,127559611290.8492,USD,27.434862032496873,4.1604,,0.414601171698963,Electronic technology,america,Electronic Technology,1.2625
20,NASDAQ:COST,COST,Costco Wholesale Corporation,costco-wholesale,streaming,stock,['common'],2269416578.99,USD,1007.27,100,1,false,0,0.108330517402456,2253037,0.9635317970962802,446701156428.0969,USD,57.13613132682523,17.6293,9.270714533644068,0.47506410383828,Retail trade,america,Retail Trade,1.538462
21,NYSE:DIS,DIS,Walt Disney Company (The),walt-disney,streaming,stock,['common'],2249602124.57,USD,118.73,100,1,false,0,2.654331661767255,18947209,2.262201833696915,213446414962.30896,USD,24.2499131962174,4.8961,430.45503791982657,0.821372989797683,Consumer services,america,Consumer Services,1.30303
22,NYSE:HIMS,HIMS,"Hims & Hers Health, Inc.",hims-and-hers-health,streaming,stock,['common'],2116389538.25,USD,55.25,100,1,false,0,-2.8315160042208922,38305693,0.9084545464206456,12366691954.959549,USD,80.4221251819505,0.687,,0.0,Health services,america,Health Services,1.7
23,NYSE:UBER,UBER,"Uber Technologies, Inc.",uber,streaming,stock,['common'],2114394126.93,USD,86.39,100,1,false,0,-0.8379247015610698,24474987,0.9967304495352011,180656027607.4597,USD,15.063906955657467,5.7349,795.0991103480567,0.0,Transportation,america,Transportation,1.222222
24,NYSE:JPM,JPM,JP Morgan Chase & Co.,jpmorgan-chase,streaming,stock,['common'],2024146231.8000002,USD,268.6,100,1,false,0,0.6973082402339408,7535913,1.0433270799902052,746464750650.0607,USD,13.184051518914648,20.3731,23.021508882528412,1.89322936192547,Finance,america,Finance,1.537037
25,NYSE:ORCL,ORCL,Oracle Corporation,oracle,streaming,stock,['common'],1960423314.84,USD,177.48,100,1,false,0,0.1862828111769597,11045883,1.306879667987052,497695413067.73444,USD,41.69916827216766,4.2562,12.46399788611441,0.95963872424499,Technology services,america,Technology Services,1.426829
26,NASDAQ:APP,APP,Applovin Corporation,applovin,streaming,stock,['common'],1897303987.5900002,USD,383.61,100,1,false,0,0.0026068821689235935,4945919,0.7924209796265326,129808579377.49606,USD,69.26868905742145,5.538,228.1000059245216,0.0,Technology services,america,Technology Services,1.3
27,NYSE:XOM,XOM,Exxon Mobil Corporation,exxon,streaming,stock,['common'],1890564798.72,USD,107.22,100,1,false,0,2.1434695627322093,17632576,1.046661975322248,462079516125.1066,USD,14.185166565236948,7.5586,-7.258717577482757,3.734400304849,Energy minerals,america,Energy Minerals,1.467742
28,NYSE:GEV,GEV,GE Vernova Inc.,ge-verona,streaming,stock,['common'],1834699648.22,USD,465.31,100,1,false,0,-3.0604166666666663,3942962,1.282938160385605,126999270113.27856,USD,66.40455531453362,7.0072,,0.104166666666667,Producer manufacturing,america,Producer Manufacturing,1.348485
29,NYSE:BA,BA,Boeing Company (The),boeing,streaming,stock,['common'],1765663973.73,USD,215.73,100,1,false,0,-0.8183531791641768,8184601,1.065611637582774,162661600932.06512,USD,,-17.9353,-406.76141500904157,0.0,Electronic technology,america,Electronic Technology,1.40625
