,ticker,name,description,logoid,update_mode,type,typespecs,Volatility.D,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
35,NASDAQ:JFBR,JFBR,Jeffs' Brands Ltd,jeffs-brands-ltd,streaming,stock,['common'],38.65934065934066,0.4851,10000,1,false,0,USD,6.826690156353219,9349693,2493095.6564633343,USD,,-11.3074,77.59322450370757,0.0,Consumer durables,Consumer Durables,america,,1.5489321153986684
36,NASDAQ:LAKE,LAKE,"Lakeland Industries, Inc.",lakeland-industries,streaming,stock,['common'],38.285714285714285,15.07,100,1,false,0,USD,-22.159090909090907,1462712,143331359.25568184,USD,,-3.07,-507.2698328469089,0.619834710743802,Consumer non-durables,Consumer Non-Durables,america,1.0,15.525107757820072
37,NASDAQ:MWYN,MWYN,"Marwynn Holdings, Inc.",marwynn,streaming,stock,['common'],38.02816901408451,1.425,100,1,false,0,USD,-27.295918367346932,1458585,24301957.125,USD,,,,0.0,Retail trade,Retail Trade,america,,0.8009095518039677
38,NASDAQ:GUTS,GUTS,"Fractyl Health, Inc.",fractyl-health-inc,streaming,stock,['common'],37.95728081442366,2.16,100,1,false,0,USD,-24.999999999999993,1147549,105789535.50000001,USD,,-1.8406,,0.0,Health technology,Health Technology,america,1.0,2.936724792141225
39,NASDAQ:CYCC,CYCC,"Cyclacel Pharmaceuticals, Inc.",cyclacel-pharmaceuticals,streaming,stock,['common'],37.92,0.2788,10000,1,false,0,USD,-19.1415313225058,7542050,6209530.1450116,USD,,-48.9312,86.27797620115943,0.0,Health technology,Health Technology,america,,3.4860764248087373
40,NASDAQ:ELAB,ELAB,PMGC Holdings Inc.,pmgc,streaming,stock,['common'],36.224489795918366,2.14,100,1,false,0,USD,-18.939393939393938,768367,2943324.3863636362,USD,,-409.346,,0.0,Health technology,Health Technology,america,,0.2738517122668596
41,NASDAQ:LICN,LICN,Lichen International Limited,lichen-international-limited,streaming,stock,['common'],35.95514511873352,4.08,100,1,false,0,USD,-5.336426914153122,933326,2884560.0000000005,USD,,-8.808,,0.0,Commercial services,Commercial Services,america,,34.12052438783644
42,NASDAQ:CHSN,CHSN,Chanson International Holding,chanson-international,streaming,stock,['common'],35.88208198986642,0.4896,10000,1,false,0,USD,3.0736842105263165,1501858,13365936.727578945,USD,76.5,0.0064,1180.0,0.0,Consumer non-durables,Consumer Non-Durables,america,,4.902521348549343
43,NYSE:DBI,DBI,Designer Brands Inc.,designer-brands,streaming,stock,['common'],34.9005424954792,3.05,100,1,false,0,USD,-18.23056300268097,8637205,148297635.5898123,USD,,-0.3041,-182.36728060671726,5.36193029490617,Retail trade,Retail Trade,america,2.0,6.646216525009249
44,NASDAQ:VBIX,VBIX,Viewbix Inc.,viewbix,streaming,stock,['common'],34.1991341991342,6.06,100,1,false,0,USD,14.33962264150943,102096,40116951.883018866,USD,,-3.3207,-55.95266049875545,0.0,Electronic technology,Electronic Technology,america,,1.6262814835581438
