,ticker,name,description,logoid,update_mode,type,typespecs,cash_n_short_term_invest_fq,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
54,NYSE:PG,PG,Procter & Gamble Company (The),procter-and-gamble,delayed_streaming_900,stock,['common'],9116000000.0,USD,155.62,100,1,false,0,USD,1.22942821830483,8319995,364857614684.0828,24.715710564767168,6.2964,2.9479570314416033,2.65159695570156,Consumer non-durables,Consumer Non-Durables,america,1.42,0.8468313962358852
55,NYSE:MDT,MDT,Medtronic plc.,medtronic,delayed_streaming_900,stock,['common'],8965000000.0,USD,89.53,100,1,false,0,USD,-0.2784584539986634,6952025,114711633343.72865,24.74913614374568,3.6175,30.98815946699498,3.12987302294498,Health technology,Health Technology,america,1.585714,0.9672722819384868
56,NASDAQ:AMGN,AMGN,Amgen Inc.,amgen,delayed_streaming_900,stock,['common'],8810000000.0,USD,298.25,100,1,false,0,USD,-0.2575078590060805,1725609,160370843122.10556,27.225259929346684,10.9549,56.652986515279345,3.09678282389138,Health technology,Health Technology,america,1.606061,0.9691969843842488
57,NASDAQ:CMCSA,CMCSA,Comcast Corporation,comcast,delayed_streaming_900,stock,['common'],8620000000.0,USD,34.7,100,1,false,0,USD,0.8720930232558264,17545605,129559530954.62791,8.519309616753825,4.0731,8.157412570700242,3.66279069767442,Consumer services,Consumer Services,america,1.625,1.059144194397914
58,NASDAQ:PEP,PEP,"PepsiCo, Inc.",pepsico,delayed_streaming_900,stock,['common'],8582000000.0,USD,145.44,100,1,false,0,USD,7.454746952345773,26161000,199409806785.7117,21.385719327137984,6.8008,2.3631054516993295,4.05430365718508,Consumer non-durables,Consumer Non-Durables,america,1.791667,3.1605077659381657
59,NYSE:SPOT,SPOT,Spotify Technology S.A.,spotify-technology,delayed_streaming_900,stock,['common'],8547622600.000001,USD,720.91,100,1,false,0,USD,2.1770250159450093,1658809,144747133470.2605,118.82674842176398,6.0669,,0.0,Technology services,Technology Services,america,1.4875,1.0653299036764086
60,NYSE:MA,MA,Mastercard Incorporated,mastercard,delayed_streaming_900,stock,['common'],8401000000.0,USD,555.61,100,1,false,0,USD,0.016201036866365176,2722063,504520371773.24677,38.973765432098766,14.256,13.306522119251623,0.511232718894009,Finance,Finance,america,1.369048,1.0792498792215768
61,NASDAQ:NFLX,NFLX,"Netflix, Inc.",netflix,delayed_streaming_900,stock,['common'],8375034000.0,USD,1274.17,100,1,false,0,USD,1.9083267349697377,6469512,542250194796.89667,60.20914452047027,21.1624,46.8255014465806,0.0,Technology services,Technology Services,america,1.423077,2.1558422282973115
62,NASDAQ:REGN,REGN,"Regeneron Pharmaceuticals, Inc.",regeneron-pharmaceuticals,delayed_streaming_900,stock,['common'],8349400000.0,USD,550.0,100,1,false,0,USD,0.3777854835471776,989311,59381023973.135254,14.000147637920545,39.2853,16.05050233517173,0.321208913547351,Health technology,Health Technology,america,1.37037,1.1771819389242963
63,NASDAQ:PCAR,PCAR,PACCAR Inc.,paccar,delayed_streaming_900,stock,['common'],8344200000.000001,USD,94.05,100,1,false,0,USD,-1.4047594087430584,5561648,49372432346.9305,14.266428008009223,6.5924,-31.56512441477822,1.32089317538526,Producer manufacturing,Producer Manufacturing,america,1.863636,2.1476299006382193
